keying,mode,family_semantics,severity,threshold_fraction,support_width,family_size,rows,low_count,medium_count,high_count,low_high_estimable,bin_signature
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.25,4,15,660,0,66,594,False,high:594;medium:66
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.5,1,1,1581,927,654,0,False,low:927;medium:654
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.5,2,3,645,0,374,271,False,high:271;medium:374
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.5,3,4,714,0,0,714,False,high:714
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.5,4,11,660,0,0,660,False,high:660
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.75,1,1,1581,927,654,0,False,low:927;medium:654
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.75,2,1,645,381,264,0,False,low:381;medium:264
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.75,3,1,714,426,288,0,False,low:426;medium:288
catalog_augmented_edge_pair,orientation_degradation,at_least_k,0.75,0.75,4,5,660,0,0,660,False,high:660
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.25,1,1,1581,933,648,0,False,low:933;medium:648
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.25,2,3,645,0,12,633,False,high:633;medium:12
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.25,3,4,714,0,462,252,False,high:252;medium:462
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.25,4,5,660,0,631,29,False,high:29;medium:631
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.5,1,1,1581,933,648,0,False,low:933;medium:648
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.5,2,3,645,0,5,640,False,high:640;medium:5
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.5,3,4,714,0,0,714,False,high:714
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.5,4,7,660,0,0,660,False,high:660
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.75,1,1,1581,933,648,0,False,low:933;medium:648
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.75,2,1,645,381,264,0,False,low:381;medium:264
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,0.25,0.75,3,1,714,429,285,0,False,low:429;medium:285
