keying,mode,family_semantics,severity,threshold_fraction,raw_gap,width_matched_gap,joint_width_family_matched_gap,width_gap_reduction_from_raw,joint_gap_reduction_from_raw,width_status,joint_status,interpretation
edge_direction_only,selector_stress,at_least_k,0.25,0.25,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,selector_stress,at_least_k,0.25,0.5,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,selector_stress,at_least_k,0.25,0.75,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,selector_stress,at_least_k,0.5,0.25,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,selector_stress,at_least_k,0.5,0.5,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,selector_stress,at_least_k,0.5,0.75,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,selector_stress,at_least_k,0.75,0.25,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,selector_stress,at_least_k,0.75,0.5,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,selector_stress,at_least_k,0.75,0.75,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,selector_stress,augmented_exact_k,0.25,0.25,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,selector_stress,augmented_exact_k,0.25,0.5,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,selector_stress,augmented_exact_k,0.25,0.75,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,selector_stress,augmented_exact_k,0.5,0.25,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,selector_stress,augmented_exact_k,0.5,0.5,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,selector_stress,augmented_exact_k,0.5,0.75,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,selector_stress,augmented_exact_k,0.75,0.25,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,selector_stress,augmented_exact_k,0.75,0.5,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_direction_only,selector_stress,augmented_exact_k,0.75,0.75,0.0,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_pair_signed_no_member,ledger_failure,at_least_k,0.25,0.25,-0.1414141414141414,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_pair_signed_no_member,ledger_failure,at_least_k,0.25,0.5,-0.09988584474885845,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_pair_signed_no_member,ledger_failure,at_least_k,0.25,0.75,-0.07424242424242425,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_pair_signed_no_member,ledger_failure,at_least_k,0.5,0.25,-0.27441077441077444,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
edge_pair_signed_no_member,ledger_failure,at_least_k,0.5,0.5,-0.21575342465753425,,,,,insufficient_joint_matched_low_high_bins,insufficient_joint_matched_low_high_bins,joint_matching_not_estimable
