keying,mode,family_semantics,severity,threshold_fraction,matching_level,raw_low_minus_high_gap,matched_low_minus_high_gap_weighted,matched_low_minus_high_gap_unweighted,matched_gap_abs_weighted,gap_reduction_from_raw,matched_strata_count,total_strata_count,estimable_strata_fraction,matched_trials_paired_low_high,matched_strata,status
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.25,0.75,width_family_size,0.0,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.25,width_family_size,0.0,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.5,width_family_size,0.0,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.5,0.75,width_family_size,0.0,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.25,width_family_size,0.0,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.5,width_family_size,0.0,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.75,0.75,width_family_size,0.0,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,ledger_failure,at_least_k,0.25,0.25,width_family_size,-0.1414141414141414,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,ledger_failure,at_least_k,0.25,0.5,width_family_size,-0.09988584474885845,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,ledger_failure,at_least_k,0.25,0.75,width_family_size,-0.07424242424242425,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,ledger_failure,at_least_k,0.5,0.25,width_family_size,-0.27441077441077444,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,ledger_failure,at_least_k,0.5,0.5,width_family_size,-0.21575342465753425,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,ledger_failure,at_least_k,0.5,0.75,width_family_size,-0.1787878787878788,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,ledger_failure,at_least_k,0.75,0.25,width_family_size,-0.3223905723905724,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,ledger_failure,at_least_k,0.75,0.5,width_family_size,-0.2420091324200913,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,ledger_failure,at_least_k,0.75,0.75,width_family_size,-0.1621212121212121,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,ledger_failure,augmented_exact_k,0.25,0.25,width_family_size,-0.15200868621064062,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,ledger_failure,augmented_exact_k,0.25,0.5,width_family_size,-0.11688954928182269,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,ledger_failure,augmented_exact_k,0.25,0.75,width_family_size,-0.07424242424242425,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,ledger_failure,augmented_exact_k,0.5,0.25,width_family_size,-0.2703583061889251,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,ledger_failure,augmented_exact_k,0.5,0.5,width_family_size,-0.24021792966815256,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,ledger_failure,augmented_exact_k,0.5,0.75,width_family_size,-0.1787878787878788,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,ledger_failure,augmented_exact_k,0.75,0.25,width_family_size,-0.19435396308360478,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,ledger_failure,augmented_exact_k,0.75,0.5,width_family_size,-0.22486379395740466,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,ledger_failure,augmented_exact_k,0.75,0.75,width_family_size,-0.1621212121212121,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,orientation_degradation,at_least_k,0.25,0.25,width_family_size,-0.16077441077441076,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,orientation_degradation,at_least_k,0.25,0.5,width_family_size,-0.11358447488584475,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,orientation_degradation,at_least_k,0.25,0.75,width_family_size,-0.09242424242424242,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,orientation_degradation,at_least_k,0.5,0.25,width_family_size,-0.2769360269360269,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,orientation_degradation,at_least_k,0.5,0.5,width_family_size,-0.19863013698630136,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,orientation_degradation,at_least_k,0.5,0.75,width_family_size,-0.15,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,orientation_degradation,at_least_k,0.75,0.25,width_family_size,-0.29208754208754206,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,orientation_degradation,at_least_k,0.75,0.5,width_family_size,-0.2522831050228311,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,orientation_degradation,at_least_k,0.75,0.75,width_family_size,-0.19090909090909092,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
edge_direction_only,orientation_degradation,augmented_exact_k,0.25,0.25,width_family_size,-0.1498371335504886,,,,,0,4,0.0,0,,insufficient_joint_matched_low_high_bins
