seed,run_seed,step_idx,v,N1,N2,N3,N4,V4,S,parent_size,mu_depth,mu_v4,mu_mle
chain2,8,15,17,2,2,0,1,5,25,4,1.7142857143,1.8312368960,1.8218071621
chain2,8,16,18,2,0,1,3,6,7,3,1.6666666667,2.0000000000,2.2364152990
chain2,8,17,19,2,2,1,1,6,9,3,1.7777777778,2.0000000000,2.0202072359
chain2,8,18,20,2,1,1,2,6,8,3,1.7500000000,2.0000000000,2.1338144785
chain2,8,19,21,1,2,0,1,4,26,4,1.5714285714,1.6354633478,1.7456210551
chain2,8,20,22,2,2,0,1,5,25,4,1.7777777778,1.8312368960,1.8218071621
chain2,8,21,23,2,2,2,2,8,1,3,1.9000000000,2.2824720047,2.3742806333
chain2,8,22,24,1,2,1,1,5,10,4,1.6666666667,1.8312368960,1.9583417612
chain2,8,23,25,1,2,2,2,7,2,4,1.8181818182,2.1488813703,2.3301921157
chain2,8,24,26,1,2,1,1,5,10,3,1.6666666667,1.8312368960,1.9583417612
chain2,8,25,27,2,3,1,1,7,18,4,2.0000000000,2.1488813703,2.1338144785
chain2,9,1,3,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,9,2,4,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,9,3,5,2,1,0,0,3,8,3,1.5000000000,1.4006773518,1.2220970831
chain2,9,4,6,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,9,5,7,1,2,1,0,4,2,3,1.3333333333,1.6354633478,1.6627514257
chain2,9,6,8,3,1,0,1,5,15,4,2.0000000000,1.8312368960,1.7456210551
chain2,9,7,9,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
chain2,9,8,10,3,1,0,1,5,15,4,2.0000000000,1.8312368960,1.7456210551
chain2,9,9,11,3,2,1,1,7,8,4,2.5000000000,2.1488813703,2.0785553499
chain2,9,10,12,1,3,1,0,5,11,4,1.7500000000,1.8312368960,1.8218071621
chain2,9,11,13,1,3,2,1,7,3,4,2.2000000000,2.1488813703,2.2364152990
chain2,9,12,14,1,3,1,0,5,11,3,1.7500000000,1.8312368960,1.8218071621
chain2,9,13,15,3,2,1,1,7,8,4,2.2000000000,2.1488813703,2.0785553499
chain2,9,14,16,1,3,2,1,7,3,4,2.2000000000,2.1488813703,2.2364152990
chain2,9,15,17,1,3,2,1,7,3,4,2.0000000000,2.1488813703,2.2364152990
chain2,9,16,18,1,3,2,1,7,3,3,2.0000000000,2.1488813703,2.2364152990
chain2,9,17,19,2,2,1,0,5,1,4,2.1428571429,1.8312368960,1.7456210551
chain2,9,18,20,1,3,2,1,7,3,4,2.2000000000,2.1488813703,2.2364152990
chain2,9,19,21,3,2,1,1,7,8,4,2.2500000000,2.1488813703,2.0785553499
chain2,9,20,22,3,2,0,2,7,32,4,2.5000000000,2.1488813703,2.1338144785
chain2,9,21,23,2,2,1,0,5,1,4,2.1428571429,1.8312368960,1.7456210551
chain2,9,22,24,2,4,0,1,7,43,3,2.3750000000,2.1488813703,2.0785553499
chain2,9,23,25,2,1,1,2,6,8,3,2.0000000000,2.0000000000,2.1338144785
chain2,9,24,26,1,3,2,1,7,3,4,2.2000000000,2.1488813703,2.2364152990
chain2,9,25,27,3,2,0,0,5,16,4,2.5000000000,1.8312368960,1.5716813449
chain2,10,1,3,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,10,2,4,0,0,0,0,0,1,0,0.0000000000,0.0000000000,0.0000000000
chain2,10,3,5,3,1,0,0,4,7,4,2.0000000000,1.6354633478,1.3553983943
chain2,10,4,6,1,3,1,0,5,11,4,1.6666666667,1.8312368960,1.8218071621
chain2,10,5,7,1,3,1,0,5,11,4,1.6666666667,1.8312368960,1.8218071621
chain2,10,6,8,1,3,1,0,5,11,3,1.6666666667,1.8312368960,1.8218071621
chain2,10,7,9,1,3,1,0,5,11,3,1.6666666667,1.8312368960,1.8218071621
chain2,10,8,10,2,1,0,0,3,8,2,1.5000000000,1.4006773518,1.2220970831
chain2,10,9,11,2,1,1,2,6,8,4,1.7500000000,2.0000000000,2.1338144785
chain2,10,10,12,2,2,0,1,5,25,4,1.8000000000,1.8312368960,1.8218071621
chain2,10,11,13,2,2,0,1,5,25,3,1.8000000000,1.8312368960,1.8218071621
chain2,10,12,14,2,2,1,2,7,17,4,2.0000000000,2.1488813703,2.2364152990
chain2,10,13,15,2,2,1,2,7,17,4,2.0000000000,2.1488813703,2.2364152990
chain2,10,14,16,2,2,1,2,7,17,4,2.0000000000,2.1488813703,2.2364152990
chain2,10,15,17,1,2,1,0,4,2,1,1.3333333333,1.6354633478,1.6627514257
chain2,10,16,18,3,0,0,1,4,6,4,2.0000000000,1.6354633478,1.5716813449
chain2,10,17,19,2,3,1,0,6,10,3,2.2000000000,2.0000000000,1.8924299483
chain2,10,18,20,3,3,0,0,6,25,4,2.2857142857,2.0000000000,1.7456210551
chain2,10,19,21,3,3,1,2,9,25,4,2.3750000000,2.4039086666,2.3742806333
chain2,10,20,22,2,3,0,0,5,26,4,2.1428571429,1.8312368960,1.6627514257
chain2,10,21,23,1,3,0,0,4,27,3,1.8000000000,1.6354633478,1.5716813449
chain2,10,22,24,2,3,1,2,8,26,4,2.2500000000,2.2824720047,2.3301921157
chain2,10,23,25,2,2,1,2,7,17,4,2.1250000000,2.1488813703,2.2364152990
chain2,10,24,26,2,2,1,2,7,17,4,2.2222222222,2.1488813703,2.2364152990
chain2,10,25,27,2,3,0,1,6,34,3,2.1428571429,2.0000000000,1.9583417612
chain2,11,1,3,1,1,0,0,2,9,1,1.0000000000,1.1041475573,1.0618691594
chain2,11,2,4,1,1,0,0,2,9,2,1.0000000000,1.1041475573,1.0618691594
