seed,run_seed,step_idx,n_vertices,total_parent_subsets,admitted_parent_subsets,unique_closures,admitted_unique_closures,unique_profiles,admitted_unique_profiles,mean_closure_multiplicity,max_closure_multiplicity,mean_adm_closure_multiplicity,max_adm_closure_multiplicity
asym_branch,3,6,9,256,29,55,9,24,8,4.6545454545,15,3.2222222222,8
asym_branch,3,7,10,386,159,63,17,30,14,6.1269841270,42,9.3529411765,42
asym_branch,3,8,11,562,159,67,17,33,14,8.3880597015,93,9.3529411765,42
asym_branch,3,9,12,794,215,79,21,41,17,10.0506329114,93,10.2380952381,42
asym_branch,3,10,13,1093,319,101,30,44,19,10.8217821782,93,10.6333333333,42
asym_branch,3,11,14,1471,697,105,34,47,22,14.0095238095,232,20.5000000000,232
asym_branch,3,12,15,1941,1052,117,39,51,23,16.5897435897,232,26.9743589744,232
asym_branch,3,13,16,2517,1158,125,43,54,24,20.1360000000,299,26.9302325581,232
asym_branch,3,14,17,3214,1370,135,47,58,28,23.8074074074,299,29.1489361702,232
asym_branch,3,15,18,4048,2059,164,66,61,30,24.6829268293,299,31.1969696970,232
asym_branch,3,16,19,5036,2454,189,82,66,33,26.6455026455,299,29.9268292683,232
asym_branch,3,17,20,6196,2917,201,92,69,36,30.8258706468,576,31.7065217391,232
asym_branch,3,18,21,7547,2917,209,92,72,36,36.1100478469,834,31.7065217391,232
asym_branch,3,19,22,9109,3283,225,99,76,38,40.4844444444,834,33.1616161616,232
asym_branch,3,20,23,10903,4066,295,139,81,39,36.9593220339,834,29.2517985612,232
asym_branch,3,21,24,12951,4871,372,182,96,49,34.8145161290,834,26.7637362637,232
asym_branch,3,22,25,15276,5147,384,185,97,49,39.7812500000,1351,27.8216216216,232
asym_branch,3,23,26,17902,6913,450,223,110,61,39.7822222222,1351,31.0000000000,576
asym_branch,3,24,27,20854,8064,641,323,114,65,32.5335413417,1351,24.9659442724,576
asym_branch,3,25,28,24158,10312,869,458,140,79,27.7997698504,1351,22.5152838428,576
asym_branch,4,1,4,16,13,7,4,6,4,2.2857142857,8,3.2500000000,8
asym_branch,4,2,5,31,13,10,4,9,4,3.1000000000,8,3.2500000000,8
asym_branch,4,3,6,57,17,16,5,12,5,3.5625000000,8,3.4000000000,8
asym_branch,4,4,7,99,17,20,5,14,5,4.9500000000,15,3.4000000000,8
asym_branch,4,5,8,163,81,22,7,16,7,7.4090909091,42,11.5714285714,42
asym_branch,4,6,9,256,81,24,7,18,7,10.6666666667,64,11.5714285714,42
asym_branch,4,7,10,386,182,30,11,22,9,12.8666666667,64,16.5454545455,42
asym_branch,4,8,11,562,248,38,14,26,10,14.7894736842,64,17.7142857143,42
