seed,profile,candidate_count,admitted_candidate_count,unique_closure_count,admitted_unique_closure_count
asym_branch,4|0|4|1,3,0,3,0
asym_branch,4|0|4|3,5,0,5,0
asym_branch,4|1|0|0,162,162,162,162
asym_branch,4|1|0|1,714,714,714,714
asym_branch,4|1|0|2,380,380,380,380
asym_branch,4|1|0|3,56,56,56,56
asym_branch,4|1|0|4,15,15,15,15
asym_branch,4|1|1|0,536,0,536,0
asym_branch,4|1|1|1,1461,0,1461,0
asym_branch,4|1|1|2,1256,1256,1256,1256
asym_branch,4|1|1|3,305,305,305,305
asym_branch,4|1|1|4,44,44,44,44
asym_branch,4|1|2|0,896,0,896,0
asym_branch,4|1|2|1,1467,0,1467,0
asym_branch,4|1|2|2,890,0,890,0
asym_branch,4|1|2|3,125,0,125,0
asym_branch,4|1|2|4,8,8,8,8
asym_branch,4|1|3|0,422,0,422,0
asym_branch,4|1|3|1,465,0,465,0
asym_branch,4|1|3|2,139,0,139,0
asym_branch,4|1|3|3,18,0,18,0
asym_branch,4|1|3|4,3,0,3,0
asym_branch,4|1|4|0,28,0,28,0
asym_branch,4|1|4|1,80,0,80,0
asym_branch,4|1|4|2,14,0,14,0
asym_branch,4|1|5|2,3,0,3,0
asym_branch,4|1|6|0,3,0,3,0
asym_branch,4|2|0|0,292,292,292,292
asym_branch,4|2|0|1,996,996,996,996
asym_branch,4|2|0|2,803,803,803,803
asym_branch,4|2|0|3,238,238,238,238
asym_branch,4|2|1|0,1101,0,1101,0
asym_branch,4|2|1|1,2307,2307,2307,2307
asym_branch,4|2|1|2,1291,1291,1291,1291
asym_branch,4|2|1|3,226,226,226,226
asym_branch,4|2|1|4,28,28,28,28
asym_branch,4|2|2|0,1134,0,1134,0
asym_branch,4|2|2|1,1690,0,1690,0
asym_branch,4|2|2|2,700,0,700,0
asym_branch,4|2|2|3,104,104,104,104
asym_branch,4|2|2|4,3,3,3,3
asym_branch,4|2|3|0,458,0,458,0
asym_branch,4|2|3|1,460,0,460,0
asym_branch,4|2|3|2,95,0,95,0
asym_branch,4|2|3|3,4,0,4,0
asym_branch,4|2|4|0,66,0,66,0
asym_branch,4|2|4|1,43,0,43,0
asym_branch,4|2|4|2,9,0,9,0
asym_branch,4|2|5|0,9,0,9,0
asym_branch,4|2|5|1,1,0,1,0
asym_branch,4|2|6|0,4,0,4,0
asym_branch,4|3|0|0,299,299,299,299
asym_branch,4|3|0|1,748,748,748,748
asym_branch,4|3|0|2,491,491,491,491
asym_branch,4|3|0|3,84,84,84,84
asym_branch,4|3|0|4,2,2,2,2
asym_branch,4|3|1|0,803,803,803,803
asym_branch,4|3|1|1,1147,1147,1147,1147
asym_branch,4|3|1|2,449,449,449,449
asym_branch,4|3|1|3,80,80,80,80
