mode,family_semantics,severity,threshold_fraction,support_width,samples,mean_weighted_native_overlap,mean_induced_certificate_correlation,certification_rescue_rate,primary_signal_semantics,guardrail_semantics,anchoring_status,support_overlap,frontier_overlap,orientation_overlap,ledger_overlap,causal_past_overlap,bdg_kernel_overlap,firewall_overlap,concrete_support_overlap_v1_5,concrete_frontier_overlap_v1_5,concrete_orientation_link_overlap_v1_5,concrete_ledger_overlap_v1_5,concrete_causal_past_overlap_v1_5,concrete_bdg_kernel_overlap_v1_5,concrete_firewall_overlap_v1_5,graphs_sampled
ledger_failure,at_least_k,0.25,1.0,3,476,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7203703703703703,0.25925925925925924,0.20894179894179893,0.8359788359788359,0.7203703703703703,0.8857142857142858,0.35777777777777775,5
ledger_failure,at_least_k,0.25,1.0,4,440,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.18148148148148147,0.17232804232804233,0.8182539682539682,0.7,0.8211463844797178,0.30777777777777776,5
ledger_failure,at_least_k,0.5,0.25,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7314814814814815,0.14444444444444443,0.20349847683181016,0.874973544973545,0.7314814814814815,0.8162257495590829,0.2607407407407408,5
ledger_failure,at_least_k,0.5,0.25,2,430,0.435563,0.435563,0.25814,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658,0.6570370370370371,0.18148148148148147,0.15267436267436268,0.7555555555555555,0.6570370370370371,0.7888447971781305,0.30777777777777776,5
ledger_failure,at_least_k,0.5,0.25,3,476,0.423733,0.423733,0.287815,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.619029,0.461096,0.450049,0.48298,0.7886243386243386,0.1074074074074074,0.24526017192683858,0.9137566137566138,0.7886243386243386,0.8916931216931218,0.14444444444444443,5
ledger_failure,at_least_k,0.5,0.25,4,440,0.420024,0.420024,0.272727,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.614318,0.457361,0.44056,0.464683,0.7474074074074075,0.14444444444444443,0.21106461439794771,0.8652821869488536,0.7474074074074075,0.8719929453262786,0.29222222222222227,5
ledger_failure,at_least_k,0.5,0.5,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7185185185185186,0.1074074074074074,0.2015079365079365,0.8456349206349205,0.7185185185185186,0.8184126984126984,0.2011111111111111,5
ledger_failure,at_least_k,0.5,0.5,2,430,0.435563,0.435563,0.25814,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658,0.5,0.0,0.09520282186948854,0.58,0.5,0.650952380952381,0.18333333333333332,5
ledger_failure,at_least_k,0.5,0.5,3,476,0.565849,0.565849,0.168067,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.5,0.5,0.5,0.716662,0.598398,0.5822,0.585274,0.6756613756613756,0.2444444444444444,0.1856509539842873,0.7585185185185186,0.6756613756613756,0.8253846153846153,0.2902116402116402,5
ledger_failure,at_least_k,0.5,0.5,4,440,0.508639,0.508639,0.243182,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.436364,0.436364,0.436364,0.678448,0.543352,0.524495,0.524466,0.8155555555555557,0.26296296296296295,0.24279560308972076,0.9243386243386243,0.8155555555555557,0.8977892477892478,0.276984126984127,5
