environment,m_kg,T_s,gamma_decoh_per_s,unitary_peak_C,realistic_peak_C,discriminating
bose_ideal_um,1.000e-16,1,1.979e+01,1.0548e-03,0.0000e+00,0
bose_ideal_um,1.000e-16,10,1.979e+01,1.0548e-02,0.0000e+00,0
bose_ideal_um,1.000e-16,100,1.979e+01,1.0529e-01,0.0000e+00,0
bose_ideal_um,1.000e-16,1e+03,1.979e+01,8.6981e-01,0.0000e+00,0
bose_ideal_um,3.162e-16,0.1,1.979e+01,1.0548e-03,0.0000e+00,0
bose_ideal_um,3.162e-16,1,1.979e+01,1.0548e-02,0.0000e+00,0
bose_ideal_um,3.162e-16,10,1.979e+01,1.0529e-01,0.0000e+00,0
bose_ideal_um,3.162e-16,100,1.979e+01,8.6981e-01,0.0000e+00,0
bose_ideal_um,3.162e-16,1e+03,1.979e+01,9.9993e-01,0.0000e+00,0
bose_ideal_um,1.000e-15,0.1,1.979e+01,1.0548e-02,0.0000e+00,0
bose_ideal_um,1.000e-15,1,1.979e+01,1.0529e-01,0.0000e+00,0
bose_ideal_um,1.000e-15,10,1.979e+01,8.6981e-01,0.0000e+00,0
bose_ideal_um,1.000e-15,100,1.979e+01,9.9993e-01,0.0000e+00,0
bose_ideal_um,1.000e-15,1e+03,1.979e+01,9.9995e-01,0.0000e+00,0
bose_ideal_um,3.162e-15,0.1,1.979e+01,1.0529e-01,0.0000e+00,0
bose_ideal_um,3.162e-15,1,1.979e+01,8.6981e-01,0.0000e+00,0
bose_ideal_um,3.162e-15,10,1.979e+01,9.9993e-01,0.0000e+00,0
bose_ideal_um,3.162e-15,100,1.979e+01,9.9995e-01,0.0000e+00,0
bose_ideal_um,3.162e-15,1e+03,1.979e+01,9.9876e-01,0.0000e+00,0
bose_ideal_um,1.000e-14,0.1,1.979e+01,8.6981e-01,0.0000e+00,0
bose_ideal_um,1.000e-14,1,1.979e+01,9.9993e-01,0.0000e+00,0
bose_ideal_um,1.000e-14,10,1.979e+01,9.9995e-01,0.0000e+00,0
bose_ideal_um,1.000e-14,100,1.979e+01,9.9876e-01,0.0000e+00,0
bose_ideal_um,1.000e-14,1e+03,1.979e+01,9.9818e-01,0.0000e+00,0
bose_ideal_um,3.162e-14,0.1,1.979e+01,9.9993e-01,5.5027e-01,1
bose_ideal_um,3.162e-14,1,1.979e+01,9.9995e-01,0.0000e+00,0
bose_ideal_um,3.162e-14,10,1.979e+01,9.9876e-01,0.0000e+00,0
bose_ideal_um,3.162e-14,100,1.979e+01,9.9818e-01,0.0000e+00,0
bose_ideal_um,3.162e-14,1e+03,1.979e+01,9.7854e-01,0.0000e+00,0
bose_ideal_um,1.000e-13,0.1,1.979e+01,9.9995e-01,6.7687e-01,1
bose_ideal_um,1.000e-13,1,1.979e+01,9.9876e-01,0.0000e+00,0
bose_ideal_um,1.000e-13,10,1.979e+01,9.9818e-01,0.0000e+00,0
bose_ideal_um,1.000e-13,100,1.979e+01,9.7854e-01,0.0000e+00,0
bose_ideal_um,1.000e-13,1e+03,1.979e+01,9.5034e-01,0.0000e+00,0
bose_ideal_um,3.162e-13,0.1,1.979e+01,9.9876e-01,6.3384e-01,1
bose_ideal_um,3.162e-13,1,1.979e+01,9.9818e-01,0.0000e+00,0
bose_ideal_um,3.162e-13,10,1.979e+01,9.7854e-01,0.0000e+00,0
bose_ideal_um,3.162e-13,100,1.979e+01,9.5034e-01,0.0000e+00,0
bose_ideal_um,3.162e-13,1e+03,1.979e+01,9.5730e-01,0.0000e+00,0
