mode,family_semantics,severity,threshold_fraction,support_width,samples,mean_weighted_native_overlap,mean_induced_certificate_correlation,certification_rescue_rate,primary_signal_semantics,guardrail_semantics,anchoring_status,support_overlap,frontier_overlap,orientation_overlap,ledger_overlap,causal_past_overlap,bdg_kernel_overlap,firewall_overlap,native_orientation_link_overlap,native_orientation_link_bin,native_orientation_link_count,native_orientation_link_tokens,support_frontier_overlap,support_frontier_bin,legacy_orientation_triplet_diff,native_orientation_support_abs_diff,orientation_surface_origin,native_orientation_adjusted_rescue_rate,native_orientation_specific_sensitivity_proxy,native_ledger_specific_sensitivity_proxy
ledger_failure,at_least_k,0.25,0.5,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4943895424923441,medium,4,RA_CausalOrientation_Core::forward_winding_stable;RA_CausalOrientation_Core::no_reverse_precedence;RA_CausalOrientation_Core::one_way_precedence;RA_CausalOrientation_Core::reverse_winding_filtered,1.0,high,0.0,0.5056104575076559,native_lean_theorem_catalog_surface,0.0,0.07584156862614838,0.0
ledger_failure,at_least_k,0.25,0.5,2,430,0.435563,0.435563,0.134884,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658,0.5249347632068675,medium,7,RA_CausalOrientation_Core::chain_escape_depth2_profile;RA_CausalOrientation_Core::forward_winding_stable;RA_CausalOrientation_Core::no_reverse_precedence;RA_CausalOrientation_Core::one_way_precedence;RA_CausalOrientation_Core::reverse_winding_filtered;RA_CausalOrientation_Core::symmetric_branch_depth2_preserved_all;RA_D1_NativeLedgerOrientation::orientation_asymmetry,0.333333,low,0.0,0.1916017632068675,native_lean_theorem_catalog_surface,0.04202172,0.07125978551896987,0.35018099999999996
ledger_failure,at_least_k,0.25,0.5,3,476,0.565849,0.565849,0.086134,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.5,0.5,0.5,0.716662,0.598398,0.5822,0.585274,0.34702696849639075,medium,6,RA_CausalOrientation_Core::forward_winding_stable;RA_CausalOrientation_Core::no_reverse_precedence;RA_CausalOrientation_Core::one_way_precedence;RA_CausalOrientation_Core::reverse_winding_filtered;RA_CausalOrientation_Core::symmetric_branch_depth2_preserved_all;RA_D1_NativeLedgerOrientation::depth2_ledger_preserved_symmetric,0.5,medium,0.0,0.15297303150360925,native_lean_theorem_catalog_surface,0.03400056,0.09794595472554139,0.283338
ledger_failure,at_least_k,0.25,0.5,4,440,0.508639,0.508639,0.104545,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.436364,0.436364,0.436364,0.678448,0.543352,0.524495,0.524466,0.5240408524253879,medium,8,RA_CausalOrientation_Core::asymmetric_branch_extensions_classified;RA_CausalOrientation_Core::asymmetric_branch_replica_depth2_profile;RA_CausalOrientation_Core::forward_winding_stable;RA_CausalOrientation_Core::no_reverse_precedence;RA_CausalOrientation_Core::one_way_precedence;RA_CausalOrientation_Core::reverse_winding_filtered;RA_CausalOrientation_Core::symmetric_branch_depth2_preserved_all;RA_D1_NativeLedgerOrientation::orientation_asymmetry,0.436364,medium,0.0,0.08767685242538792,native_lean_theorem_catalog_surface,0.038586239999999994,0.07139387213619182,0.32155199999999995
ledger_failure,at_least_k,0.25,0.75,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48408971644021054,medium,5,RA_CausalOrientation_Core::asymmetric_branch_extensions_classified;RA_CausalOrientation_Core::forward_winding_stable;RA_CausalOrientation_Core::no_reverse_precedence;RA_CausalOrientation_Core::one_way_precedence;RA_CausalOrientation_Core::reverse_winding_filtered,1.0,high,0.0,0.5159102835597895,native_lean_theorem_catalog_surface,0.0,0.07738654253396843,0.0
ledger_failure,at_least_k,0.25,0.75,2,430,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4001353433638568,medium,6,RA_CausalOrientation_Core::chain_escape_depth2_profile;RA_CausalOrientation_Core::forward_winding_stable;RA_CausalOrientation_Core::no_reverse_precedence;RA_CausalOrientation_Core::one_way_precedence;RA_CausalOrientation_Core::reverse_winding_filtered;RA_D1_NativeLedgerOrientation::orientation_asymmetry,1.0,high,0.0,0.5998646566361432,native_lean_theorem_catalog_surface,0.0,0.08997969849542148,0.0
ledger_failure,at_least_k,0.25,0.75,3,476,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5434880060171079,medium,5,RA_CausalOrientation_Core::forward_winding_stable;RA_CausalOrientation_Core::no_reverse_precedence;RA_CausalOrientation_Core::one_way_precedence;RA_CausalOrientation_Core::reverse_winding_filtered;RA_D1_NativeLedgerOrientation::orientation_asymmetry,1.0,high,0.0,0.4565119939828921,native_lean_theorem_catalog_surface,0.0,0.06847679909743382,0.0
ledger_failure,at_least_k,0.25,0.75,4,440,0.649869,0.649869,0.075,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.6,0.6,0.6,0.775978,0.678955,0.663139,0.63005,0.3935586128504245,medium,6,RA_CausalOrientation_Core::asymmetric_branch_extensions_classified;RA_CausalOrientation_Core::asymmetric_branch_replica_depth2_profile;RA_CausalOrientation_Core::forward_winding_stable;RA_CausalOrientation_Core::no_reverse_precedence;RA_CausalOrientation_Core::one_way_precedence;RA_CausalOrientation_Core::reverse_winding_filtered,0.6,medium,0.0,0.2064413871495755,native_lean_theorem_catalog_surface,0.02688264000000001,0.09096620807243633,0.22402200000000005
ledger_failure,at_least_k,0.25,1.0,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4474708261055034,medium,5,RA_CausalOrientation_Core::asymmetric_branch_extensions_classified;RA_CausalOrientation_Core::forward_winding_stable;RA_CausalOrientation_Core::no_reverse_precedence;RA_CausalOrientation_Core::one_way_precedence;RA_CausalOrientation_Core::reverse_winding_filtered,1.0,high,0.0,0.5525291738944966,native_lean_theorem_catalog_surface,0.0,0.08287937608417449,0.0
ledger_failure,at_least_k,0.25,1.0,2,430,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5684808844123546,medium,6,RA_CausalOrientation_Core::chain_escape_depth2_profile;RA_CausalOrientation_Core::forward_winding_stable;RA_CausalOrientation_Core::no_reverse_precedence;RA_CausalOrientation_Core::one_way_precedence;RA_CausalOrientation_Core::reverse_winding_filtered;RA_D1_NativeLedgerOrientation::orientation_asymmetry,1.0,high,0.0,0.43151911558764544,native_lean_theorem_catalog_surface,0.0,0.06472786733814681,0.0
