config_id,source,keying,mode,family_semantics,orientation_bin,support_width,family_size,rows,bin_rows,fraction
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,at_least_k,low,1,1,8373,10800,0.7752777777777777
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,at_least_k,low,2,1,1143,10800,0.10583333333333333
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,at_least_k,low,3,1,1284,10800,0.11888888888888889
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,at_least_k,medium,1,1,5856,10800,0.5422222222222223
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,at_least_k,medium,2,1,792,10800,0.07333333333333333
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,at_least_k,medium,2,3,2256,10800,0.2088888888888889
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,at_least_k,medium,3,1,858,10800,0.07944444444444444
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,at_least_k,medium,3,7,859,10800,0.07953703703703703
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,at_least_k,medium,4,15,179,10800,0.016574074074074074
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,augmented_exact_k,high,2,3,3804,10800,0.3522222222222222
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,augmented_exact_k,high,3,4,2944,10800,0.2725925925925926
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,augmented_exact_k,high,4,5,2072,10800,0.19185185185185186
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,augmented_exact_k,high,4,7,1980,10800,0.18333333333333332
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,augmented_exact_k,low,1,1,8373,10800,0.7752777777777777
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,augmented_exact_k,low,2,1,1143,10800,0.10583333333333333
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,augmented_exact_k,low,3,1,1284,10800,0.11888888888888889
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,augmented_exact_k,medium,1,1,5856,10800,0.5422222222222223
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,augmented_exact_k,medium,2,1,792,10800,0.07333333333333333
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,augmented_exact_k,medium,2,3,66,10800,0.006111111111111111
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,selector_stress,augmented_exact_k,medium,3,1,858,10800,0.07944444444444444
