config_id,source,keying,surface,mode,family_semantics,threshold_fraction,support_width,family_size,rows,orientation_bins,low_rows,high_rows,estimable_low_high,medium_rows,mean_orientation_overlap
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.75,2,1,1935,low;medium,1143,0,False,792,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.75,3,1,2142,low;medium,1284,0,False,858,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,ledger_failure,augmented_exact_k,0.75,4,5,1980,high,0,1980,False,0,0.5047868538913666
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,at_least_k,0.25,1,1,4743,low;medium,2791,0,False,1952,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,at_least_k,0.25,2,3,1935,high;medium,0,823,False,1112,0.27795783028341164
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,at_least_k,0.25,3,7,2142,high;medium,0,1262,False,880,0.2846420365817379
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,at_least_k,0.25,4,15,1980,high;medium,0,1805,False,175,0.291198077739107
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,at_least_k,0.5,1,1,4743,low;medium,2791,0,False,1952,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,at_least_k,0.5,2,3,1935,high;medium,0,808,False,1127,0.2765609349976275
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,at_least_k,0.5,3,4,2142,high,0,2142,False,0,0.41148975042337926
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,at_least_k,0.5,4,11,1980,high,0,1980,False,0,0.37074589558111726
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,at_least_k,0.75,1,1,4743,low;medium,2791,0,False,1952,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,at_least_k,0.75,2,1,1935,low;medium,1143,0,False,792,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,at_least_k,0.75,3,1,2142,low;medium,1284,0,False,858,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,at_least_k,0.75,4,5,1980,high,0,1980,False,0,0.5048006916778943
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,augmented_exact_k,0.25,1,1,4743,low;medium,2791,0,False,1952,0.0
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,v1_7_orientation_overlap,orientation_degradation,augmented_exact_k,0.25,2,3,1935,high;medium,0,1904,False,31,0.27725553946484177
