config_id,source,keying,mode,family_semantics,threshold_fraction,orientation_bins,estimable_joint_fraction,recommendation
outputs,v1_7_matched_graph_keyed_trials,shuffled_overlap_control,orientation_degradation,at_least_k,0.25,high;low;medium,0.5,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,shuffled_overlap_control,orientation_degradation,at_least_k,0.5,high;low;medium,0.5,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,shuffled_overlap_control,orientation_degradation,at_least_k,0.75,high;low;medium,0.25,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,shuffled_overlap_control,orientation_degradation,augmented_exact_k,0.25,high;low;medium,1.0,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,shuffled_overlap_control,orientation_degradation,augmented_exact_k,0.5,high;low;medium,1.0,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,shuffled_overlap_control,orientation_degradation,augmented_exact_k,0.75,high;low;medium,1.0,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,shuffled_overlap_control,selector_stress,at_least_k,0.25,high;low;medium,0.5,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,shuffled_overlap_control,selector_stress,at_least_k,0.5,high;low;medium,0.5,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,shuffled_overlap_control,selector_stress,at_least_k,0.75,high;low;medium,0.25,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,shuffled_overlap_control,selector_stress,augmented_exact_k,0.25,high;low;medium,1.0,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,shuffled_overlap_control,selector_stress,augmented_exact_k,0.5,high;low;medium,1.0,coverage_sufficient_for_v1_8_1_audit
outputs,v1_7_matched_graph_keyed_trials,shuffled_overlap_control,selector_stress,augmented_exact_k,0.75,high;low;medium,1.0,coverage_sufficient_for_v1_8_1_audit
