native_certification_regime,mode,family_semantics,severity,threshold_fraction,native_overlap_bin,overlap_weight_profile,samples,support_width_count,mean_support_width,mean_family_size,mean_weighted_native_overlap,mean_induced_certificate_correlation,certification_rescue_rate,family_certification_resilience_rate,family_internal_loss_rate,strict_parent_loss_rate,comparison_valid_rate,metric_artifact_risk_rate,mean_apples_to_apples_loss_delta
native_overlap_induced,orientation_degradation,at_least_k,1.0,0.25,medium,balanced,1346,3,3.007429,8.337296,0.4263,0.4263,0.0,0.0,1.0,1.0,1.0,0.0,0.0
native_overlap_induced,orientation_degradation,at_least_k,1.0,0.5,high,balanced,1054,1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
native_overlap_induced,orientation_degradation,at_least_k,1.0,0.5,medium,balanced,1346,3,3.007429,5.968796,0.505526,0.505526,0.0,0.0,1.0,1.0,1.0,0.0,0.0
native_overlap_induced,orientation_degradation,at_least_k,1.0,0.75,high,balanced,2004,4,1.755489,1.087824,0.992851,0.992851,0.0,0.0,1.0,1.0,1.0,0.0,0.0
native_overlap_induced,orientation_degradation,at_least_k,1.0,0.75,medium,balanced,396,1,4.0,5.0,0.647141,0.647141,0.0,0.0,1.0,1.0,1.0,0.0,0.0
native_overlap_induced,orientation_degradation,at_least_k,1.0,1.0,high,balanced,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
native_overlap_induced,orientation_degradation,augmented_exact_k,0.0,0.25,high,balanced,1054,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
native_overlap_induced,orientation_degradation,augmented_exact_k,0.0,0.25,low,balanced,896,2,3.491071,4.491071,0.250781,0.250781,0.0,0.0,0.0,0.0,1.0,0.0,0.0
native_overlap_induced,orientation_degradation,augmented_exact_k,0.0,0.25,medium,balanced,450,2,2.044444,3.044444,0.432663,0.432663,0.0,0.0,0.0,0.0,1.0,0.0,0.0
native_overlap_induced,orientation_degradation,augmented_exact_k,0.0,0.5,high,balanced,1054,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
