row_id,mode,family_semantics,severity,threshold_fraction,support_width,family_size,samples,support_overlap,frontier_overlap,legacy_orientation_overlap,support_frontier_overlap,per_graph_orientation_link_overlap,per_graph_orientation_link_bin,support_frontier_bin,certification_rescue_rate,per_graph_orientation_adjusted_rescue_rate,orientation_overlap_source
79,ledger_failure,at_least_k,1.0,1.0,4,10,440,1.0,1.0,1.0,1.0,0.1925437525437525,low,high,0.0,0.0968947496947497,per_graph_member_witness_tokens
80,ledger_failure,augmented_exact_k,0.0,0.25,1,10,1054,1.0,1.0,1.0,1.0,0.3703703703703704,medium,high,0.0,0.025185185185185182,per_graph_member_witness_tokens
81,ledger_failure,augmented_exact_k,0.0,0.25,2,10,430,0.333333,0.333333,0.333333,0.333333,0.3888888888888889,medium,low,0.0,0.024444444444444446,per_graph_member_witness_tokens
82,ledger_failure,augmented_exact_k,0.0,0.25,3,10,476,0.166667,0.166667,0.166667,0.166667,0.20397306397306394,low,low,0.0,0.03184107744107744,per_graph_member_witness_tokens
83,ledger_failure,augmented_exact_k,0.0,0.25,4,10,440,0.1,0.1,0.1,0.1,0.18451178451178454,low,low,0.0,0.03261952861952862,per_graph_member_witness_tokens
84,ledger_failure,augmented_exact_k,0.0,0.5,1,10,1054,1.0,1.0,1.0,1.0,0.37830687830687826,medium,high,0.0,0.024867724867724872,per_graph_member_witness_tokens
85,ledger_failure,augmented_exact_k,0.0,0.5,2,10,430,0.333333,0.333333,0.333333,0.333333,0.3769841269841269,medium,low,0.0,0.024920634920634923,per_graph_member_witness_tokens
86,ledger_failure,augmented_exact_k,0.0,0.5,3,10,476,0.5,0.5,0.5,0.5,0.21949753949753953,low,medium,0.0,0.031220098420098416,per_graph_member_witness_tokens
87,ledger_failure,augmented_exact_k,0.0,0.5,4,10,440,0.333333,0.333333,0.333333,0.333333,0.17069153069153073,low,low,0.0,0.03317233877233877,per_graph_member_witness_tokens
88,ledger_failure,augmented_exact_k,0.0,0.75,1,10,1054,1.0,1.0,1.0,1.0,0.3743386243386243,medium,high,0.0,0.02502645502645503,per_graph_member_witness_tokens
89,ledger_failure,augmented_exact_k,0.0,0.75,2,10,430,1.0,1.0,1.0,1.0,0.33513227513227506,medium,high,0.0,0.026594708994708997,per_graph_member_witness_tokens
90,ledger_failure,augmented_exact_k,0.0,0.75,3,10,476,1.0,1.0,1.0,1.0,0.23659451659451658,low,high,0.0,0.030536219336219337,per_graph_member_witness_tokens
91,ledger_failure,augmented_exact_k,0.0,0.75,4,10,440,0.6,0.6,0.6,0.6,0.19823287823287816,low,medium,0.0,0.032070684870684874,per_graph_member_witness_tokens
92,ledger_failure,augmented_exact_k,0.0,1.0,1,10,1054,1.0,1.0,1.0,1.0,0.3915343915343915,medium,high,0.0,0.02433862433862434,per_graph_member_witness_tokens
93,ledger_failure,augmented_exact_k,0.0,1.0,2,10,430,1.0,1.0,1.0,1.0,0.35333333333333333,medium,high,0.0,0.02586666666666667,per_graph_member_witness_tokens
94,ledger_failure,augmented_exact_k,0.0,1.0,3,10,476,1.0,1.0,1.0,1.0,0.21332297332297326,low,high,0.0,0.03146708106708107,per_graph_member_witness_tokens
95,ledger_failure,augmented_exact_k,0.0,1.0,4,10,440,1.0,1.0,1.0,1.0,0.22905516052574876,low,high,0.0,0.03083779357897005,per_graph_member_witness_tokens
96,ledger_failure,augmented_exact_k,0.25,0.25,1,10,1054,1.0,1.0,1.0,1.0,0.38306878306878306,medium,high,0.0,0.037015873015873016,per_graph_member_witness_tokens
97,ledger_failure,augmented_exact_k,0.25,0.25,2,10,430,0.333333,0.333333,0.333333,0.333333,0.36772486772486773,medium,low,0.134884,0.03793650793650794,per_graph_member_witness_tokens
98,ledger_failure,augmented_exact_k,0.25,0.25,3,10,476,0.166667,0.166667,0.166667,0.166667,0.20181818181818187,low,low,0.195378,0.047890909090909095,per_graph_member_witness_tokens
