mode,family_semantics,severity,threshold_fraction,support_width,samples,mean_weighted_native_overlap,mean_induced_certificate_correlation,certification_rescue_rate,primary_signal_semantics,guardrail_semantics,anchoring_status,support_overlap,frontier_overlap,orientation_overlap,ledger_overlap,causal_past_overlap,bdg_kernel_overlap,firewall_overlap,orientation_link_overlap,orientation_link_bin,support_frontier_overlap,support_frontier_bin,orientation_link_count_proxy,old_orientation_triplet_diff,orientation_surface_status,orientation_surface_adjusted_rescue_rate,orientation_specific_sensitivity_proxy,ledger_specific_sensitivity_proxy
ledger_failure,at_least_k,0.5,1.0,4,440,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6712645605052625,high,1.0,high,7,0.0,distinct_orientation_link_surface,0.0,0.049310315924210625,0.0
ledger_failure,at_least_k,0.75,0.25,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6189759283596434,medium,1.0,high,1,0.0,distinct_orientation_link_surface,0.0,0.05715361074605348,0.0
ledger_failure,at_least_k,0.75,0.25,2,430,0.435563,0.435563,0.162791,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658,0.4209840308909788,medium,0.333333,low,3,0.0,distinct_orientation_link_surface,0.117310635,0.08685239536635318,0.35018099999999996
ledger_failure,at_least_k,0.75,0.25,3,476,0.423733,0.423733,0.384454,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.619029,0.461096,0.450049,0.48298,0.5226821206980641,medium,0.333333,low,7,0.0,distinct_orientation_link_surface,0.12762528499999998,0.07159768189529038,0.38097099999999995
ledger_failure,at_least_k,0.75,0.25,4,440,0.420024,0.420024,0.438636,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.614318,0.457361,0.44056,0.464683,0.4321824343841086,medium,0.333333,low,3,0.0,distinct_orientation_link_surface,0.12920347,0.08517263484238372,0.38568199999999997
ledger_failure,at_least_k,0.75,0.5,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4335175850882228,medium,1.0,high,1,0.0,distinct_orientation_link_surface,0.0,0.08497236223676657,0.0
ledger_failure,at_least_k,0.75,0.5,2,430,0.435563,0.435563,0.162791,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658,0.3076349773873862,low,0.333333,low,6,0.0,distinct_orientation_link_surface,0.117310635,0.10385475339189207,0.35018099999999996
ledger_failure,at_least_k,0.75,0.5,3,476,0.565849,0.565849,0.180672,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.5,0.5,0.5,0.716662,0.598398,0.5822,0.585274,0.8273594768196433,high,0.5,medium,1,0.0,distinct_orientation_link_surface,0.09491822999999999,0.025896078477053507,0.283338
ledger_failure,at_least_k,0.75,0.5,4,440,0.508639,0.508639,0.397727,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.436364,0.436364,0.436364,0.678448,0.543352,0.524495,0.524466,0.415017211444918,medium,0.436364,medium,5,0.0,distinct_orientation_link_surface,0.10771991999999998,0.0877474182832623,0.32155199999999995
ledger_failure,at_least_k,0.75,0.75,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.786869171265699,high,1.0,high,6,0.0,distinct_orientation_link_surface,0.0,0.03196962431014515,0.0
ledger_failure,at_least_k,0.75,0.75,2,430,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48309333163031093,medium,1.0,high,7,0.0,distinct_orientation_link_surface,0.0,0.07753600025545335,0.0
ledger_failure,at_least_k,0.75,0.75,3,476,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6267270939403943,medium,1.0,high,4,0.0,distinct_orientation_link_surface,0.0,0.05599093590894086,0.0
ledger_failure,at_least_k,0.75,0.75,4,440,0.649869,0.649869,0.15,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.6,0.6,0.6,0.775978,0.678955,0.663139,0.63005,0.46600383029384906,medium,0.6,medium,7,0.0,distinct_orientation_link_surface,0.07504737000000002,0.08009942545592263,0.22402200000000005
ledger_failure,at_least_k,0.75,1.0,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7329513853740655,high,1.0,high,4,0.0,distinct_orientation_link_surface,0.0,0.04005729219389018,0.0
ledger_failure,at_least_k,0.75,1.0,2,430,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3255077517375897,low,1.0,high,6,0.0,distinct_orientation_link_surface,0.0,0.10117383723936153,0.0
ledger_failure,at_least_k,0.75,1.0,3,476,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40068989583439824,medium,1.0,high,4,0.0,distinct_orientation_link_surface,0.0,0.08989651562484026,0.0
ledger_failure,at_least_k,0.75,1.0,4,440,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8404003443439423,high,1.0,high,2,0.0,distinct_orientation_link_surface,0.0,0.023939948348408655,0.0
ledger_failure,at_least_k,1.0,0.25,1,1054,1.0,1.0,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5952424485000926,medium,1.0,high,1,0.0,distinct_orientation_link_surface,0.0,0.060713632724986116,0.0
ledger_failure,at_least_k,1.0,0.25,2,430,0.435563,0.435563,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.649819,0.474827,0.469505,0.516658,0.5918097462801413,medium,0.333333,low,7,0.0,distinct_orientation_link_surface,0.15407964,0.06122853805797881,0.35018099999999996
ledger_failure,at_least_k,1.0,0.25,3,476,0.423733,0.423733,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.619029,0.461096,0.450049,0.48298,0.34983483520038894,medium,0.333333,low,2,0.0,distinct_orientation_link_surface,0.16762723999999998,0.09752477471994166,0.38097099999999995
ledger_failure,at_least_k,1.0,0.25,4,440,0.420024,0.420024,0.0,augmented_exact_k,at_least_k,component_proxy_anchored_to_formal_surface,0.333333,0.333333,0.333333,0.614318,0.457361,0.44056,0.464683,0.3937863177440023,medium,0.333333,low,5,0.0,distinct_orientation_link_surface,0.16970007999999998,0.09093205233839965,0.38568199999999997
