motif,site,mode,severity,seed,support_width,before_supported,before_ready,before_strict_commits,before_selected_commits,after_supported,after_ready,after_strict_commits,after_selected_commits,lost_support,lost_readiness,lost_strict_commit,lost_selected_commit,finality_depth_before,finality_depth_after,finality_depth_shift,recovery_length,intervention_detail,run_seed,nodes,edges,motifs,target_count
renewal_6,6,edge_dropout,0.25,101,1,True,True,True,True,True,True,True,True,False,False,False,False,5,3,-2,0,"removed_edges=[(1, 2), (0, 1)]",34,17,24,29,12
renewal_5,5,edge_dropout,0.25,101,1,True,True,True,True,False,False,False,False,True,True,True,True,4,3,-1,0,"removed_edges=[(0, 3), (0, 1)]",34,17,24,29,12
renewal_4,4,edge_dropout,0.25,101,1,True,True,True,True,False,False,False,False,True,True,True,True,3,,,,"removed_edges=[(2, 3), (3, 4)]",34,17,24,29,12
renewal_3,3,edge_dropout,0.25,101,1,True,True,True,True,False,False,False,False,True,True,True,True,2,7,5,1,"removed_edges=[(2, 3)]",34,17,24,29,12
renewal_2,2,edge_dropout,0.25,101,1,True,True,True,True,False,False,False,False,True,True,True,True,1,2,1,1,"removed_edges=[(1, 2)]",34,17,24,29,12
renewal_1,1,edge_dropout,0.25,101,1,True,True,True,True,False,False,False,False,True,True,True,True,0,2,2,0,"removed_edges=[(0, 1)]",34,17,24,29,12
renewal_12,12,edge_dropout,0.0,101,1,True,True,True,True,True,True,True,True,False,False,False,False,11,11,0,0,removed_edges=[],34,17,24,29,12
renewal_11,11,edge_dropout,0.0,101,1,True,True,True,True,True,True,True,True,False,False,False,False,10,10,0,0,removed_edges=[],34,17,24,29,12
renewal_10,10,edge_dropout,0.0,101,1,True,True,True,True,True,True,True,True,False,False,False,False,9,9,0,0,removed_edges=[],34,17,24,29,12
renewal_9,9,edge_dropout,0.0,101,1,True,True,True,True,True,True,True,True,False,False,False,False,8,8,0,0,removed_edges=[],34,17,24,29,12
renewal_8,8,edge_dropout,0.0,101,1,True,True,True,True,True,True,True,True,False,False,False,False,7,7,0,0,removed_edges=[],34,17,24,29,12
renewal_7,7,edge_dropout,0.0,101,1,True,True,True,True,True,True,True,True,False,False,False,False,6,6,0,0,removed_edges=[],34,17,24,29,12
renewal_6,6,edge_dropout,0.0,101,1,True,True,True,True,True,True,True,True,False,False,False,False,5,5,0,0,removed_edges=[],34,17,24,29,12
renewal_5,5,edge_dropout,0.0,101,1,True,True,True,True,True,True,True,True,False,False,False,False,4,4,0,0,removed_edges=[],34,17,24,29,12
renewal_4,4,edge_dropout,0.0,101,1,True,True,True,True,True,True,True,True,False,False,False,False,3,3,0,0,removed_edges=[],34,17,24,29,12
renewal_3,3,edge_dropout,0.0,101,1,True,True,True,True,True,True,True,True,False,False,False,False,2,2,0,0,removed_edges=[],34,17,24,29,12
renewal_2,2,edge_dropout,0.0,101,1,True,True,True,True,True,True,True,True,False,False,False,False,1,1,0,0,removed_edges=[],34,17,24,29,12
renewal_1,1,edge_dropout,0.0,101,1,True,True,True,True,True,True,True,True,False,False,False,False,0,0,0,0,removed_edges=[],34,17,24,29,12
renewal_12,12,selector_stress,1.0,103,1,True,True,True,True,True,True,False,True,False,False,True,False,11,11,0,0,added_incompatible_competitors=3 domain=severance_selector_stress:renewal_12:12,33,17,20,27,12
renewal_11,11,selector_stress,1.0,103,1,True,True,True,True,True,True,False,True,False,False,True,False,10,10,0,0,added_incompatible_competitors=3 domain=severance_selector_stress:renewal_11:11,33,17,20,27,12
renewal_10,10,selector_stress,1.0,103,1,True,True,True,True,True,True,False,True,False,False,True,False,9,9,0,0,added_incompatible_competitors=3 domain=severance_selector_stress:renewal_10:10,33,17,20,27,12
