family_semantics,certification_regime,mode,severity,threshold_fraction,support_width,samples,family_size_mean,parent_in_family_rate,strict_parent_loss_rate,family_internal_loss_rate,strict_rescue_rate,family_internal_survival_rate,family_internal_resilience_rate,comparison_valid_rate,metric_artifact_risk_rate,mean_apples_to_apples_loss_delta
at_least_k,cut_level,frontier_dropout,0.5,0.5,3,476,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.5,0.5,4,440,11.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0
at_least_k,cut_level,frontier_dropout,0.5,0.75,1,1054,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.5,0.75,2,430,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.5,0.75,3,476,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.5,0.75,4,440,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.5,1.0,1,1054,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.5,1.0,2,430,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.5,1.0,3,476,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.5,1.0,4,440,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.75,0.25,1,1054,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.75,0.25,2,430,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.75,0.25,3,476,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.75,0.25,4,440,15.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0
at_least_k,cut_level,frontier_dropout,0.75,0.5,1,1054,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.75,0.5,2,430,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.75,0.5,3,476,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.75,0.5,4,440,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.75,0.75,1,1054,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.75,0.75,2,430,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.75,0.75,3,476,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.75,0.75,4,440,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.75,1.0,1,1054,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.75,1.0,2,430,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.75,1.0,3,476,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,0.75,1.0,4,440,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,1.0,0.25,1,1054,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,1.0,0.25,2,430,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,1.0,0.25,3,476,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,1.0,0.25,4,440,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,1.0,0.5,1,1054,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,1.0,0.5,2,430,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,1.0,0.5,3,476,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,1.0,0.5,4,440,11.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,1.0,0.75,1,1054,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,1.0,0.75,2,430,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,1.0,0.75,3,476,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,1.0,0.75,4,440,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,1.0,1.0,1,1054,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,1.0,1.0,2,430,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,1.0,1.0,3,476,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,frontier_dropout,1.0,1.0,4,440,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.0,0.25,1,1054,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.0,0.25,2,430,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.0,0.25,3,476,7.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.0,0.25,4,440,15.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.0,0.5,1,1054,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.0,0.5,2,430,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.0,0.5,3,476,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.0,0.5,4,440,11.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.0,0.75,1,1054,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.0,0.75,2,430,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.0,0.75,3,476,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.0,0.75,4,440,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.0,1.0,1,1054,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.0,1.0,2,430,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.0,1.0,3,476,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.0,1.0,4,440,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.25,0.25,1,1054,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.25,0.25,2,430,3.0,1.0,0.423256,0.0,0.423256,1.0,1.0,1.0,0.0,-0.423256
at_least_k,cut_level,ledger_failure,0.25,0.25,3,476,7.0,1.0,0.258403,0.0,0.258403,1.0,1.0,1.0,0.0,-0.258403
at_least_k,cut_level,ledger_failure,0.25,0.25,4,440,15.0,1.0,0.390909,0.0,0.390909,1.0,1.0,1.0,0.0,-0.390909
at_least_k,cut_level,ledger_failure,0.25,0.5,1,1054,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.25,0.5,2,430,3.0,1.0,0.423256,0.0,0.423256,1.0,1.0,1.0,0.0,-0.423256
at_least_k,cut_level,ledger_failure,0.25,0.5,3,476,4.0,1.0,0.285714,0.0,0.285714,1.0,1.0,1.0,0.0,-0.285714
at_least_k,cut_level,ledger_failure,0.25,0.5,4,440,11.0,1.0,0.361364,0.0,0.361364,1.0,1.0,1.0,0.0,-0.361364
at_least_k,cut_level,ledger_failure,0.25,0.75,1,1054,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
at_least_k,cut_level,ledger_failure,0.25,0.75,2,430,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
