family_semantics,certification_regime,mode,severity,threshold_fraction,samples,support_width_count,mean_support_width,mean_family_size,strict_loss_rate,family_loss_rate,family_rescue_rate,no_worse_violation_rate,mean_loss_reduction_vs_strict,strict_cut_inclusion_rate,mean_uncertified_cut_count,mean_unavailable_support_count,mean_family_recovery_length
at_least_k,cut_level,ledger_failure,1.0,0.5,2400,4,2.125833,3.786667,1.0,1.0,0.0,0.0,0.0,1.0,3.786667,0.0,
at_least_k,cut_level,ledger_failure,1.0,0.75,2400,4,2.125833,1.733333,1.0,1.0,0.0,0.0,0.0,1.0,1.733333,0.0,
at_least_k,cut_level,ledger_failure,1.0,1.0,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,
at_least_k,cut_level,orientation_degradation,0.0,0.25,2400,4,2.125833,5.115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,orientation_degradation,0.0,0.5,2400,4,2.125833,3.786667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,orientation_degradation,0.0,0.75,2400,4,2.125833,1.733333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,orientation_degradation,0.0,1.0,2400,4,2.125833,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,orientation_degradation,0.25,0.25,2400,4,2.125833,5.115,0.640833,0.439167,0.201667,0.0,0.201667,1.0,1.748333,0.0,0.0
at_least_k,cut_level,orientation_degradation,0.25,0.5,2400,4,2.125833,3.786667,0.655417,0.439167,0.21625,0.0,0.21625,1.0,1.366667,0.0,0.0
at_least_k,cut_level,orientation_degradation,0.25,0.75,2400,4,2.125833,1.733333,0.9025,0.816667,0.085833,0.0,0.085833,1.0,1.183333,0.0,0.0
at_least_k,cut_level,orientation_degradation,0.25,1.0,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,
at_least_k,cut_level,orientation_degradation,0.5,0.25,2400,4,2.125833,5.115,0.787917,0.439167,0.34875,0.0,0.34875,1.0,3.0575,0.0,0.0
at_least_k,cut_level,orientation_degradation,0.5,0.5,2400,4,2.125833,3.786667,0.774583,0.439167,0.335417,0.0,0.335417,1.0,2.294167,0.0,0.0
at_least_k,cut_level,orientation_degradation,0.5,0.75,2400,4,2.125833,1.733333,0.924583,0.816667,0.107917,0.0,0.107917,1.0,1.366667,0.0,0.0
at_least_k,cut_level,orientation_degradation,0.5,1.0,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,
at_least_k,cut_level,orientation_degradation,0.75,0.25,2400,4,2.125833,5.115,0.945,0.618333,0.326667,0.0,0.326667,1.0,4.366667,0.0,0.0
at_least_k,cut_level,orientation_degradation,0.75,0.5,2400,4,2.125833,3.786667,0.9325,0.618333,0.314167,0.0,0.314167,1.0,3.221667,0.0,0.0
at_least_k,cut_level,orientation_degradation,0.75,0.75,2400,4,2.125833,1.733333,0.962083,0.816667,0.145417,0.0,0.145417,1.0,1.55,0.0,0.0
at_least_k,cut_level,orientation_degradation,0.75,1.0,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,
at_least_k,cut_level,orientation_degradation,1.0,0.25,2400,4,2.125833,5.115,1.0,1.0,0.0,0.0,0.0,1.0,5.115,0.0,
at_least_k,cut_level,orientation_degradation,1.0,0.5,2400,4,2.125833,3.786667,1.0,1.0,0.0,0.0,0.0,1.0,3.786667,0.0,
at_least_k,cut_level,orientation_degradation,1.0,0.75,2400,4,2.125833,1.733333,1.0,1.0,0.0,0.0,0.0,1.0,1.733333,0.0,
at_least_k,cut_level,orientation_degradation,1.0,1.0,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,
at_least_k,cut_level,selector_stress,0.0,0.25,2400,4,2.125833,5.115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,selector_stress,0.0,0.5,2400,4,2.125833,3.786667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,selector_stress,0.0,0.75,2400,4,2.125833,1.733333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,selector_stress,0.0,1.0,2400,4,2.125833,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,selector_stress,0.25,0.25,2400,4,2.125833,5.115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,selector_stress,0.25,0.5,2400,4,2.125833,3.786667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,selector_stress,0.25,0.75,2400,4,2.125833,1.733333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,selector_stress,0.25,1.0,2400,4,2.125833,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,selector_stress,0.5,0.25,2400,4,2.125833,5.115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,selector_stress,0.5,0.5,2400,4,2.125833,3.786667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,selector_stress,0.5,0.75,2400,4,2.125833,1.733333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,selector_stress,0.5,1.0,2400,4,2.125833,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,selector_stress,0.75,0.25,2400,4,2.125833,5.115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,selector_stress,0.75,0.5,2400,4,2.125833,3.786667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,selector_stress,0.75,0.75,2400,4,2.125833,1.733333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,selector_stress,0.75,1.0,2400,4,2.125833,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,selector_stress,1.0,0.25,2400,4,2.125833,5.115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,selector_stress,1.0,0.5,2400,4,2.125833,3.786667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,selector_stress,1.0,0.75,2400,4,2.125833,1.733333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,selector_stress,1.0,1.0,2400,4,2.125833,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,support_delay,0.0,0.25,2400,4,2.125833,5.115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,support_delay,0.0,0.5,2400,4,2.125833,3.786667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,support_delay,0.0,0.75,2400,4,2.125833,1.733333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,support_delay,0.0,1.0,2400,4,2.125833,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
at_least_k,cut_level,support_delay,0.25,0.25,2400,4,2.125833,5.115,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
at_least_k,cut_level,support_delay,0.25,0.5,2400,4,2.125833,3.786667,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
at_least_k,cut_level,support_delay,0.25,0.75,2400,4,2.125833,1.733333,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
at_least_k,cut_level,support_delay,0.25,1.0,2400,4,2.125833,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,
