run_seed,evaluations,support_width_classes,family_semantics,certification_regimes,no_worse_violation_rate,family_rescue_rate
57,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006713,0.056424
58,17280,"[1, 2, 3]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.00463,0.029109
59,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006019,0.045833
60,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005324,0.036748
61,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006713,0.055498
62,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005324,0.038889
63,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006944,0.057581
64,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.00625,0.042824
65,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005556,0.056308
66,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005787,0.051042
67,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006019,0.049653
68,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005787,0.053183
69,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006713,0.06088
70,17280,"[1, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005093,0.044271
71,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006713,0.058333
72,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.004861,0.045081
73,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.00625,0.040336
74,17280,"[1, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.004861,0.045139
75,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006944,0.056887
76,17280,"[1, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.004861,0.048611
77,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005093,0.043808
78,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006019,0.049248
79,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006713,0.060301
80,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006713,0.059375
81,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005093,0.043229
82,17280,"[1, 2, 3]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.007407,0.044907
83,17280,"[1, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.004398,0.0511
84,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.00625,0.04294
85,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006019,0.048669
86,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006019,0.048727
87,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.007176,0.0511
88,17280,"[1, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005324,0.038021
89,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006019,0.050868
90,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005787,0.048669
91,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.007176,0.053356
92,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006019,0.04537
93,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005787,0.054456
94,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.004861,0.04566
95,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.004861,0.046701
96,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006019,0.047801
97,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005093,0.041956
98,17280,"[1, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005093,0.042188
99,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.00625,0.049479
100,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006481,0.061921
101,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006019,0.046875
102,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.00625,0.043866
103,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005787,0.051331
104,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006019,0.045023
105,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005093,0.04022
106,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006944,0.055035
107,17280,"[1, 2, 3]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.003704,0.020428
108,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005556,0.053414
109,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.004167,0.034838
110,17280,"[1, 2, 3]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.003704,0.024942
111,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005556,0.056944
112,17280,"[1, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005324,0.037095
113,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005093,0.046296
114,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.006019,0.052836
115,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.005093,0.039815
116,17280,"[1, 2, 3, 4]","[""at_least_k"", ""augmented_exact_k"", ""exact_k""]","[""cut_level"", ""parent_shared""]",0.004861,0.047338
