mode,severity,support_width,samples,support_certification_loss_rate,causal_reachability_loss_rate,support_availability_loss_rate,strict_commit_loss_rate,selected_commit_loss_rate,mean_finality_depth_shift,mean_recovery_length
selector_stress,0.25,4,440,0.0,0.0,0.0,0.959091,0.0,0.0,0.0
selector_stress,0.5,1,1054,0.0,0.0,0.0,0.956357,0.0,0.0,0.0
selector_stress,0.5,2,430,0.0,0.0,0.0,0.948837,0.0,0.0,0.0
selector_stress,0.5,3,476,0.0,0.0,0.0,0.978992,0.0,0.0,0.0
selector_stress,0.5,4,440,0.0,0.0,0.0,0.959091,0.0,0.0,0.0
selector_stress,0.75,1,1054,0.0,0.0,0.0,0.956357,0.0,0.0,0.0
selector_stress,0.75,2,430,0.0,0.0,0.0,0.948837,0.0,0.0,0.0
selector_stress,0.75,3,476,0.0,0.0,0.0,0.978992,0.0,0.0,0.0
selector_stress,0.75,4,440,0.0,0.0,0.0,0.959091,0.0,0.0,0.0
selector_stress,1.0,1,1054,0.0,0.0,0.0,0.956357,0.0,0.0,0.0
selector_stress,1.0,2,430,0.0,0.0,0.0,0.948837,0.0,0.0,0.0
selector_stress,1.0,3,476,0.0,0.0,0.0,0.978992,0.0,0.0,0.0
selector_stress,1.0,4,440,0.0,0.0,0.0,0.959091,0.0,0.0,0.0
support_delay,0.0,1,1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0
support_delay,0.0,2,430,0.0,0.0,0.0,0.0,0.0,0.0,0.0
support_delay,0.0,3,476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
support_delay,0.0,4,440,0.0,0.0,0.0,0.0,0.0,0.0,0.0
support_delay,0.25,1,1054,0.0,1.0,0.0,0.956357,0.956357,1.0,1.028463
support_delay,0.25,2,430,0.0,1.0,0.0,0.948837,0.948837,1.0,1.459627
support_delay,0.25,3,476,0.0,1.0,0.0,0.978992,0.978992,1.0,1.150602
support_delay,0.25,4,440,0.0,1.0,0.0,0.959091,0.959091,1.0,1.154321
support_delay,0.5,1,1054,0.0,1.0,0.0,0.956357,0.956357,2.0,2.030418
support_delay,0.5,2,430,0.0,1.0,0.0,0.948837,0.948837,2.0,2.422764
support_delay,0.5,3,476,0.0,1.0,0.0,0.978992,0.978992,2.0,2.115044
support_delay,0.5,4,440,0.0,1.0,0.0,0.959091,0.959091,2.0,2.111111
support_delay,0.75,1,1054,0.0,1.0,0.0,0.956357,0.956357,4.0,4.008403
support_delay,0.75,2,430,0.0,1.0,0.0,0.948837,0.948837,4.0,4.172414
support_delay,0.75,3,476,0.0,1.0,0.0,0.978992,0.978992,4.0,4.054054
support_delay,0.75,4,440,0.0,1.0,0.0,0.959091,0.959091,4.0,4.111111
support_delay,1.0,1,1054,0.0,1.0,0.0,0.956357,0.956357,5.0,5.0
support_delay,1.0,2,430,0.0,1.0,0.0,0.948837,0.948837,5.0,5.125
support_delay,1.0,3,476,0.0,1.0,0.0,0.978992,0.978992,5.0,5.0
support_delay,1.0,4,440,0.0,1.0,0.0,0.959091,0.959091,5.0,5.095238
