run_seed,motif,motif_kind,site,threshold_fraction,family_semantics,support_width,family_size,pair_count,active_all_pairs_orientation_jaccard,active_parent_anchored_orientation_jaccard,active_orientation_overlap_bin,bad_member_indexed_all_pairs_jaccard,member_index_delta
17,renewal_4,renewal,4,0.25,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_4,renewal,4,0.25,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_5,renewal,5,1.0,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_5,renewal,5,1.0,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_5,renewal,5,0.75,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_5,renewal,5,0.75,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_5,renewal,5,0.5,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_5,renewal,5,0.5,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_5,renewal,5,0.25,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_5,renewal,5,0.25,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_1,renewal,1,1.0,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_1,renewal,1,1.0,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_1,renewal,1,0.75,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_1,renewal,1,0.75,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_1,renewal,1,0.5,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_1,renewal,1,0.5,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_1,renewal,1,0.25,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_1,renewal,1,0.25,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_12,renewal,12,1.0,at_least_k,2,1,0,0.0,0.0,low,0.0,0.0
18,renewal_12,renewal,12,1.0,augmented_exact_k,2,1,0,0.0,0.0,low,0.0,0.0
18,renewal_12,renewal,12,0.75,at_least_k,2,1,0,0.0,0.0,low,0.0,0.0
18,renewal_12,renewal,12,0.75,augmented_exact_k,2,1,0,0.0,0.0,low,0.0,0.0
18,renewal_12,renewal,12,0.5,at_least_k,2,3,3,0.333333,0.375,medium,0.0,0.333333
18,renewal_12,renewal,12,0.5,augmented_exact_k,2,3,3,0.333333,0.375,medium,0.0,0.333333
18,renewal_12,renewal,12,0.25,at_least_k,2,3,3,0.333333,0.375,medium,0.0,0.333333
18,renewal_12,renewal,12,0.25,augmented_exact_k,2,3,3,0.333333,0.375,medium,0.0,0.333333
18,renewal_28,renewal,28,1.0,at_least_k,3,1,0,0.0,0.0,low,0.0,0.0
18,renewal_28,renewal,28,1.0,augmented_exact_k,3,1,0,0.0,0.0,low,0.0,0.0
18,renewal_28,renewal,28,0.75,at_least_k,3,1,0,0.0,0.0,low,0.0,0.0
18,renewal_28,renewal,28,0.75,augmented_exact_k,3,1,0,0.0,0.0,low,0.0,0.0
18,renewal_28,renewal,28,0.5,at_least_k,3,4,6,0.5,0.444444,medium,0.111111,0.388889
18,renewal_28,renewal,28,0.5,augmented_exact_k,3,4,6,0.5,0.444444,medium,0.111111,0.388889
18,renewal_28,renewal,28,0.25,at_least_k,3,7,21,0.333333,0.222222,medium,0.095238,0.238095
18,renewal_28,renewal,28,0.25,augmented_exact_k,3,4,6,0.166667,0.111111,low,0.055556,0.111111
18,renewal_8,renewal,8,1.0,at_least_k,4,1,0,0.0,0.0,low,0.0,0.0
18,renewal_8,renewal,8,1.0,augmented_exact_k,4,1,0,0.0,0.0,low,0.0,0.0
18,renewal_8,renewal,8,0.75,at_least_k,4,5,10,0.6,0.5625,medium,0.125,0.475
18,renewal_8,renewal,8,0.75,augmented_exact_k,4,5,10,0.6,0.5625,medium,0.125,0.475
18,renewal_8,renewal,8,0.5,at_least_k,4,11,55,0.436364,0.366667,medium,0.134848,0.301515
18,renewal_8,renewal,8,0.5,augmented_exact_k,4,7,21,0.333333,0.305556,medium,0.079365,0.253968
18,renewal_8,renewal,8,0.25,at_least_k,4,15,105,0.333333,0.196429,medium,0.114286,0.219048
18,renewal_8,renewal,8,0.25,augmented_exact_k,4,5,10,0.1,0.0625,low,0.025,0.075
18,renewal_2,renewal,2,1.0,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_2,renewal,2,1.0,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_2,renewal,2,0.75,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_2,renewal,2,0.75,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_2,renewal,2,0.5,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_2,renewal,2,0.5,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_2,renewal,2,0.25,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_2,renewal,2,0.25,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_15,renewal,15,1.0,at_least_k,2,1,0,0.0,0.0,low,0.0,0.0
18,renewal_15,renewal,15,1.0,augmented_exact_k,2,1,0,0.0,0.0,low,0.0,0.0
18,renewal_15,renewal,15,0.75,at_least_k,2,1,0,0.0,0.0,low,0.0,0.0
18,renewal_15,renewal,15,0.75,augmented_exact_k,2,1,0,0.0,0.0,low,0.0,0.0
18,renewal_15,renewal,15,0.5,at_least_k,2,3,3,0.333333,0.25,medium,0.0,0.333333
18,renewal_15,renewal,15,0.5,augmented_exact_k,2,3,3,0.333333,0.25,medium,0.0,0.333333
18,renewal_15,renewal,15,0.25,at_least_k,2,3,3,0.333333,0.25,medium,0.0,0.333333
18,renewal_15,renewal,15,0.25,augmented_exact_k,2,3,3,0.333333,0.25,medium,0.0,0.333333
18,renewal_16,renewal,16,1.0,at_least_k,4,1,0,0.0,0.0,low,0.0,0.0
18,renewal_16,renewal,16,1.0,augmented_exact_k,4,1,0,0.0,0.0,low,0.0,0.0
18,renewal_16,renewal,16,0.75,at_least_k,4,5,10,0.6,0.616071,medium,0.132143,0.467857
18,renewal_16,renewal,16,0.75,augmented_exact_k,4,5,10,0.6,0.616071,medium,0.132143,0.467857
18,renewal_16,renewal,16,0.5,at_least_k,4,11,55,0.436364,0.369108,medium,0.139087,0.297276
18,renewal_16,renewal,16,0.5,augmented_exact_k,4,7,21,0.333333,0.30759,medium,0.085587,0.247747
18,renewal_16,renewal,16,0.25,at_least_k,4,15,105,0.333333,0.152612,medium,0.118314,0.215019
18,renewal_16,renewal,16,0.25,augmented_exact_k,4,5,10,0.1,0.044643,low,0.032143,0.067857
18,renewal_3,renewal,3,1.0,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_3,renewal,3,1.0,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_3,renewal,3,0.75,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_3,renewal,3,0.75,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_3,renewal,3,0.5,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_3,renewal,3,0.5,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_3,renewal,3,0.25,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_3,renewal,3,0.25,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
18,renewal_30,renewal,30,1.0,at_least_k,2,1,0,0.0,0.0,low,0.0,0.0
18,renewal_30,renewal,30,1.0,augmented_exact_k,2,1,0,0.0,0.0,low,0.0,0.0
18,renewal_30,renewal,30,0.75,at_least_k,2,1,0,0.0,0.0,low,0.0,0.0
18,renewal_30,renewal,30,0.75,augmented_exact_k,2,1,0,0.0,0.0,low,0.0,0.0
18,renewal_30,renewal,30,0.5,at_least_k,2,3,3,0.333333,0.28125,medium,0.0,0.333333
18,renewal_30,renewal,30,0.5,augmented_exact_k,2,3,3,0.333333,0.28125,medium,0.0,0.333333
18,renewal_30,renewal,30,0.25,at_least_k,2,3,3,0.333333,0.28125,medium,0.0,0.333333
18,renewal_30,renewal,30,0.25,augmented_exact_k,2,3,3,0.333333,0.28125,medium,0.0,0.333333
18,renewal_24,renewal,24,1.0,at_least_k,4,1,0,0.0,0.0,low,0.0,0.0
18,renewal_24,renewal,24,1.0,augmented_exact_k,4,1,0,0.0,0.0,low,0.0,0.0
18,renewal_24,renewal,24,0.75,at_least_k,4,5,10,0.6,0.589286,medium,0.121429,0.478571
18,renewal_24,renewal,24,0.75,augmented_exact_k,4,5,10,0.6,0.589286,medium,0.121429,0.478571
18,renewal_24,renewal,24,0.5,at_least_k,4,11,55,0.436364,0.405195,medium,0.128886,0.307477
18,renewal_24,renewal,24,0.5,augmented_exact_k,4,7,21,0.333333,0.337662,medium,0.073593,0.25974
18,renewal_24,renewal,24,0.25,at_least_k,4,15,105,0.333333,0.256841,medium,0.108442,0.224892
