run_seed,motif,threshold_fraction,family_semantics,same_cut_graph_tokens_stable,same_cut_member_indexed_tokens_stable,graph_surface_uses_member_index,bad_control_uses_member_index
20,renewal_1,0.5,augmented_exact_k,True,False,False,True
20,renewal_1,0.25,at_least_k,True,False,False,True
20,renewal_1,0.25,augmented_exact_k,True,False,False,True
20,renewal_30,1.0,at_least_k,True,False,False,True
20,renewal_30,1.0,augmented_exact_k,True,False,False,True
20,renewal_30,0.75,at_least_k,True,False,False,True
20,renewal_30,0.75,augmented_exact_k,True,False,False,True
20,renewal_30,0.5,at_least_k,True,False,False,True
20,renewal_30,0.5,augmented_exact_k,True,False,False,True
20,renewal_30,0.25,at_least_k,True,False,False,True
20,renewal_30,0.25,augmented_exact_k,True,False,False,True
20,renewal_9,1.0,at_least_k,True,False,False,True
20,renewal_9,1.0,augmented_exact_k,True,False,False,True
20,renewal_9,0.75,at_least_k,True,False,False,True
20,renewal_9,0.75,augmented_exact_k,True,False,False,True
20,renewal_9,0.5,at_least_k,True,False,False,True
20,renewal_9,0.5,augmented_exact_k,True,False,False,True
20,renewal_9,0.25,at_least_k,True,False,False,True
20,renewal_9,0.25,augmented_exact_k,True,False,False,True
20,renewal_10,1.0,at_least_k,True,False,False,True
20,renewal_10,1.0,augmented_exact_k,True,False,False,True
20,renewal_10,0.75,at_least_k,True,False,False,True
20,renewal_10,0.75,augmented_exact_k,True,False,False,True
20,renewal_10,0.5,at_least_k,True,False,False,True
20,renewal_10,0.5,augmented_exact_k,True,False,False,True
20,renewal_10,0.25,at_least_k,True,False,False,True
20,renewal_10,0.25,augmented_exact_k,True,False,False,True
20,renewal_2,1.0,at_least_k,True,False,False,True
20,renewal_2,1.0,augmented_exact_k,True,False,False,True
20,renewal_2,0.75,at_least_k,True,False,False,True
20,renewal_2,0.75,augmented_exact_k,True,False,False,True
20,renewal_2,0.5,at_least_k,True,False,False,True
20,renewal_2,0.5,augmented_exact_k,True,False,False,True
20,renewal_2,0.25,at_least_k,True,False,False,True
20,renewal_2,0.25,augmented_exact_k,True,False,False,True
20,renewal_18,1.0,at_least_k,True,False,False,True
20,renewal_18,1.0,augmented_exact_k,True,False,False,True
20,renewal_18,0.75,at_least_k,True,False,False,True
20,renewal_18,0.75,augmented_exact_k,True,False,False,True
20,renewal_18,0.5,at_least_k,True,False,False,True
20,renewal_18,0.5,augmented_exact_k,True,False,False,True
20,renewal_18,0.25,at_least_k,True,False,False,True
20,renewal_18,0.25,augmented_exact_k,True,False,False,True
20,renewal_3,1.0,at_least_k,True,False,False,True
20,renewal_3,1.0,augmented_exact_k,True,False,False,True
