mode,family_semantics,severity,threshold_fraction,native_overlap_bin,native_certification_rescue_rate,parent_shared_certification_rescue_rate,rescue_delta_native_minus_parent,native_family_certification_resilience_rate,parent_shared_family_certification_resilience_rate,resilience_delta_native_minus_parent,cert_rescue_parent_zero
orientation_degradation,at_least_k,0.0,1.0,high,0.0,0.0,0.0,0.0,0.0,0.0,True
orientation_degradation,at_least_k,0.25,0.25,high,0.0,0.0,0.0,0.857143,0.464286,0.392857,True
orientation_degradation,at_least_k,0.25,0.25,medium,0.2,0.0,0.2,0.7,0.8,-0.1,True
orientation_degradation,at_least_k,0.25,0.5,high,0.0,0.0,0.0,0.857143,0.464286,0.392857,True
orientation_degradation,at_least_k,0.25,0.5,medium,0.15,0.0,0.15,0.85,0.8,0.05,True
orientation_degradation,at_least_k,0.25,0.75,high,0.0,0.0,0.0,0.8,0.575,0.225,True
orientation_degradation,at_least_k,0.25,0.75,medium,0.125,0.0,0.125,1.0,0.75,0.25,True
orientation_degradation,at_least_k,0.25,1.0,high,0.0,0.0,0.0,0.75,0.604167,0.145833,True
orientation_degradation,at_least_k,0.5,0.25,high,0.0,0.0,0.0,0.357143,0.357143,0.0,True
orientation_degradation,at_least_k,0.5,0.25,medium,0.15,0.0,0.15,0.7,0.55,0.15,True
orientation_degradation,at_least_k,0.5,0.5,high,0.0,0.0,0.0,0.357143,0.357143,0.0,True
orientation_degradation,at_least_k,0.5,0.5,medium,0.25,0.0,0.25,0.7,0.55,0.15,True
orientation_degradation,at_least_k,0.5,0.75,high,0.0,0.0,0.0,0.5,0.425,0.075,True
orientation_degradation,at_least_k,0.5,0.75,medium,0.0,0.0,0.0,0.75,0.5,0.25,True
orientation_degradation,at_least_k,0.5,1.0,high,0.0,0.0,0.0,0.4375,0.4375,0.0,True
orientation_degradation,at_least_k,0.75,0.25,high,0.0,0.0,0.0,0.25,0.25,0.0,True
orientation_degradation,at_least_k,0.75,0.25,medium,0.3,0.0,0.3,0.6,0.2,0.4,True
orientation_degradation,at_least_k,0.75,0.5,high,0.0,0.0,0.0,0.25,0.25,0.0,True
orientation_degradation,at_least_k,0.75,0.5,medium,0.3,0.0,0.3,0.5,0.2,0.3,True
orientation_degradation,at_least_k,0.75,0.75,high,0.025,0.0,0.025,0.275,0.25,0.025,True
orientation_degradation,at_least_k,0.75,0.75,medium,0.5,0.0,0.5,0.625,0.125,0.5,True
orientation_degradation,at_least_k,0.75,1.0,high,0.0,0.0,0.0,0.291667,0.229167,0.0625,True
orientation_degradation,at_least_k,1.0,0.25,high,0.0,0.0,0.0,0.0,0.0,0.0,True
orientation_degradation,at_least_k,1.0,0.25,medium,0.0,0.0,0.0,0.0,0.0,0.0,True
orientation_degradation,at_least_k,1.0,0.5,high,0.0,0.0,0.0,0.0,0.0,0.0,True
orientation_degradation,at_least_k,1.0,0.5,medium,0.0,0.0,0.0,0.0,0.0,0.0,True
orientation_degradation,at_least_k,1.0,0.75,high,0.0,0.0,0.0,0.0,0.0,0.0,True
orientation_degradation,at_least_k,1.0,0.75,medium,0.0,0.0,0.0,0.0,0.0,0.0,True
orientation_degradation,at_least_k,1.0,1.0,high,0.0,0.0,0.0,0.0,0.0,0.0,True
orientation_degradation,augmented_exact_k,0.0,0.25,high,0.0,0.0,0.0,0.0,0.0,0.0,True
orientation_degradation,augmented_exact_k,0.0,0.25,low,0.0,0.0,0.0,0.0,0.0,0.0,True
orientation_degradation,augmented_exact_k,0.0,0.25,medium,0.0,0.0,0.0,0.0,0.0,0.0,True
orientation_degradation,augmented_exact_k,0.0,0.5,high,0.0,0.0,0.0,0.0,0.0,0.0,True
orientation_degradation,augmented_exact_k,0.0,0.5,medium,0.0,0.0,0.0,0.0,0.0,0.0,True
orientation_degradation,augmented_exact_k,0.0,0.75,high,0.0,0.0,0.0,0.0,0.0,0.0,True
orientation_degradation,augmented_exact_k,0.0,0.75,medium,0.0,0.0,0.0,0.0,0.0,0.0,True
orientation_degradation,augmented_exact_k,0.0,1.0,high,0.0,0.0,0.0,0.0,0.0,0.0,True
orientation_degradation,augmented_exact_k,0.25,0.25,high,0.0,0.0,0.0,0.857143,0.464286,0.392857,True
orientation_degradation,augmented_exact_k,0.25,0.25,low,0.166667,0.0,0.166667,1.0,0.75,0.25,True
orientation_degradation,augmented_exact_k,0.25,0.25,medium,0.375,0.0,0.375,0.625,0.875,-0.25,True
orientation_degradation,augmented_exact_k,0.25,0.5,high,0.0,0.0,0.0,0.857143,0.464286,0.392857,True
