keying,mode,family_semantics,orientation_bin,rows,rescue_rate,mean_family_size,family_size_min,family_size_max,family_size_counts,singleton_family_fraction
incidence_role_signed,orientation_degradation,at_least_k,medium,10800,0.07268518518518519,2.8633333333333333,1,15,1:7506;3:1602;7:846;15:846,0.695
incidence_role_signed,orientation_degradation,augmented_exact_k,high,10800,0.18861111111111112,4.375,3,7,3:3870;4:2970;5:1980;7:1980,0.0
incidence_role_signed,orientation_degradation,augmented_exact_k,low,10800,0.0,1.0,1,1,1:10800,1.0
incidence_role_signed,orientation_degradation,augmented_exact_k,medium,10800,0.08953703703703704,2.098333333333333,1,5,1:7506;4:1314;5:1980,0.695
incidence_role_signed,selector_stress,at_least_k,high,10800,0.0,6.7716666666666665,3,15,3:2268;4:2142;5:1980;7:1296;11:1980;15:1134,0.0
incidence_role_signed,selector_stress,at_least_k,low,10800,0.0,1.0,1,1,1:10800,1.0
incidence_role_signed,selector_stress,at_least_k,medium,10800,0.0,2.8633333333333333,1,15,1:7506;3:1602;7:846;15:846,0.695
incidence_role_signed,selector_stress,augmented_exact_k,high,10800,0.0,4.375,3,7,3:3870;4:2970;5:1980;7:1980,0.0
incidence_role_signed,selector_stress,augmented_exact_k,low,10800,0.0,1.0,1,1,1:10800,1.0
incidence_role_signed,selector_stress,augmented_exact_k,medium,10800,0.0,2.098333333333333,1,5,1:7506;4:1314;5:1980,0.695
member_indexed_edge_pair,ledger_failure,at_least_k,high,10800,0.16944444444444445,6.932407407407408,1,15,1:3343;3:696;4:330;5:329;7:2142;11:1980;15:1980,0.30953703703703705
member_indexed_edge_pair,ledger_failure,at_least_k,low,10800,0.05212962962962963,1.847962962962963,1,5,1:7494;3:1606;4:854;5:846,0.6938888888888889
member_indexed_edge_pair,ledger_failure,at_least_k,medium,10800,0.04638888888888889,1.8546296296296296,1,5,1:7469;3:1568;4:958;5:805,0.6915740740740741
member_indexed_edge_pair,ledger_failure,augmented_exact_k,high,10800,0.11564814814814815,3.037037037037037,1,7,1:5446;3:1098;4:1180;5:1096;7:1980,0.5042592592592593
