keying,mode,family_semantics,support_width,orientation_bin,rows,rescue_rate,mean_family_size,mean_orientation_overlap
edge_pair_signed_no_member,selector_stress,at_least_k,3,medium,1704,0.0,3.9788732394366195,0.16549295774647887
edge_pair_signed_no_member,selector_stress,at_least_k,4,high,5094,0.0,9.558303886925795,0.47703180212014135
edge_pair_signed_no_member,selector_stress,at_least_k,4,medium,846,0.0,15.0,0.3333333333333333
edge_pair_signed_no_member,selector_stress,augmented_exact_k,1,low,8373,0.0,1.0,0.0
edge_pair_signed_no_member,selector_stress,augmented_exact_k,1,medium,5856,0.0,1.0,0.0
edge_pair_signed_no_member,selector_stress,augmented_exact_k,2,high,3870,0.0,3.0,0.33333333333333326
edge_pair_signed_no_member,selector_stress,augmented_exact_k,2,low,1143,0.0,1.0,0.0
edge_pair_signed_no_member,selector_stress,augmented_exact_k,2,medium,792,0.0,1.0,0.0
edge_pair_signed_no_member,selector_stress,augmented_exact_k,3,high,2970,0.0,4.0,0.4070707070707071
edge_pair_signed_no_member,selector_stress,augmented_exact_k,3,low,1284,0.0,1.0,0.0
edge_pair_signed_no_member,selector_stress,augmented_exact_k,3,medium,2172,0.0,2.814917127071823,0.1008287292817679
edge_pair_signed_no_member,selector_stress,augmented_exact_k,4,high,3960,0.0,6.0,0.46666666666666656
edge_pair_signed_no_member,selector_stress,augmented_exact_k,4,medium,1980,0.0,5.0,0.10000000000000002
incidence_role_signed,ledger_failure,at_least_k,1,low,8373,0.0,1.0,0.0
incidence_role_signed,ledger_failure,at_least_k,1,medium,5856,0.0,1.0,0.0
incidence_role_signed,ledger_failure,at_least_k,2,high,2268,0.1746031746031746,3.0,0.3333333333333333
incidence_role_signed,ledger_failure,at_least_k,2,low,1143,0.0,1.0,0.0
incidence_role_signed,ledger_failure,at_least_k,2,medium,2394,0.1286549707602339,2.338345864661654,0.22305764411027568
incidence_role_signed,ledger_failure,at_least_k,3,high,3438,0.18819080860965678,5.130890052356021,0.43717277486910994
incidence_role_signed,ledger_failure,at_least_k,3,low,1284,0.0,1.0,0.0
incidence_role_signed,ledger_failure,at_least_k,3,medium,1704,0.13145539906103287,3.9788732394366195,0.16549295774647887
incidence_role_signed,ledger_failure,at_least_k,4,high,5094,0.21299568119356105,9.558303886925795,0.47703180212014135
incidence_role_signed,ledger_failure,at_least_k,4,medium,846,0.2765957446808511,15.0,0.3333333333333333
incidence_role_signed,ledger_failure,augmented_exact_k,1,low,8373,0.0,1.0,0.0
incidence_role_signed,ledger_failure,augmented_exact_k,1,medium,5856,0.0,1.0,0.0
incidence_role_signed,ledger_failure,augmented_exact_k,2,high,3870,0.18191214470284237,3.0,0.33333333333333326
incidence_role_signed,ledger_failure,augmented_exact_k,2,low,1143,0.0,1.0,0.0
incidence_role_signed,ledger_failure,augmented_exact_k,2,medium,792,0.0,1.0,0.0
incidence_role_signed,ledger_failure,augmented_exact_k,3,high,2970,0.1750841750841751,4.0,0.4070707070707071
incidence_role_signed,ledger_failure,augmented_exact_k,3,low,1284,0.0,1.0,0.0
incidence_role_signed,ledger_failure,augmented_exact_k,3,medium,2172,0.15331491712707182,2.814917127071823,0.1008287292817679
incidence_role_signed,ledger_failure,augmented_exact_k,4,high,3960,0.20025252525252527,6.0,0.46666666666666656
incidence_role_signed,ledger_failure,augmented_exact_k,4,medium,1980,0.33434343434343433,5.0,0.10000000000000002
incidence_role_signed,orientation_degradation,at_least_k,1,low,8373,0.0,1.0,0.0
incidence_role_signed,orientation_degradation,at_least_k,1,medium,5856,0.0,1.0,0.0
incidence_role_signed,orientation_degradation,at_least_k,2,high,2268,0.15343915343915343,3.0,0.3333333333333333
incidence_role_signed,orientation_degradation,at_least_k,2,low,1143,0.0,1.0,0.0
incidence_role_signed,orientation_degradation,at_least_k,2,medium,2394,0.12698412698412698,2.338345864661654,0.22305764411027568
incidence_role_signed,orientation_degradation,at_least_k,3,high,3438,0.2009889470622455,5.130890052356021,0.43717277486910994
incidence_role_signed,orientation_degradation,at_least_k,3,low,1284,0.0,1.0,0.0
incidence_role_signed,orientation_degradation,at_least_k,3,medium,1704,0.12793427230046947,3.9788732394366195,0.16549295774647887
incidence_role_signed,orientation_degradation,at_least_k,4,high,5094,0.21652925009815469,9.558303886925795,0.47703180212014135
incidence_role_signed,orientation_degradation,at_least_k,4,medium,846,0.3108747044917258,15.0,0.3333333333333333
incidence_role_signed,orientation_degradation,augmented_exact_k,1,low,8373,0.0,1.0,0.0
incidence_role_signed,orientation_degradation,augmented_exact_k,1,medium,5856,0.0,1.0,0.0
incidence_role_signed,orientation_degradation,augmented_exact_k,2,high,3870,0.16847545219638244,3.0,0.33333333333333326
incidence_role_signed,orientation_degradation,augmented_exact_k,2,low,1143,0.0,1.0,0.0
incidence_role_signed,orientation_degradation,augmented_exact_k,2,medium,792,0.0,1.0,0.0
incidence_role_signed,orientation_degradation,augmented_exact_k,3,high,2970,0.19663299663299663,4.0,0.4070707070707071
incidence_role_signed,orientation_degradation,augmented_exact_k,3,low,1284,0.0,1.0,0.0
incidence_role_signed,orientation_degradation,augmented_exact_k,3,medium,2172,0.15515653775322283,2.814917127071823,0.1008287292817679
incidence_role_signed,orientation_degradation,augmented_exact_k,4,high,3960,0.20227272727272727,6.0,0.46666666666666656
incidence_role_signed,orientation_degradation,augmented_exact_k,4,medium,1980,0.3181818181818182,5.0,0.10000000000000002
incidence_role_signed,selector_stress,at_least_k,1,low,8373,0.0,1.0,0.0
incidence_role_signed,selector_stress,at_least_k,1,medium,5856,0.0,1.0,0.0
incidence_role_signed,selector_stress,at_least_k,2,high,2268,0.0,3.0,0.3333333333333333
incidence_role_signed,selector_stress,at_least_k,2,low,1143,0.0,1.0,0.0
incidence_role_signed,selector_stress,at_least_k,2,medium,2394,0.0,2.338345864661654,0.22305764411027568
incidence_role_signed,selector_stress,at_least_k,3,high,3438,0.0,5.130890052356021,0.43717277486910994
incidence_role_signed,selector_stress,at_least_k,3,low,1284,0.0,1.0,0.0
incidence_role_signed,selector_stress,at_least_k,3,medium,1704,0.0,3.9788732394366195,0.16549295774647887
incidence_role_signed,selector_stress,at_least_k,4,high,5094,0.0,9.558303886925795,0.47703180212014135
incidence_role_signed,selector_stress,at_least_k,4,medium,846,0.0,15.0,0.3333333333333333
incidence_role_signed,selector_stress,augmented_exact_k,1,low,8373,0.0,1.0,0.0
incidence_role_signed,selector_stress,augmented_exact_k,1,medium,5856,0.0,1.0,0.0
incidence_role_signed,selector_stress,augmented_exact_k,2,high,3870,0.0,3.0,0.33333333333333326
incidence_role_signed,selector_stress,augmented_exact_k,2,low,1143,0.0,1.0,0.0
incidence_role_signed,selector_stress,augmented_exact_k,2,medium,792,0.0,1.0,0.0
incidence_role_signed,selector_stress,augmented_exact_k,3,high,2970,0.0,4.0,0.4070707070707071
incidence_role_signed,selector_stress,augmented_exact_k,3,low,1284,0.0,1.0,0.0
incidence_role_signed,selector_stress,augmented_exact_k,3,medium,2172,0.0,2.814917127071823,0.1008287292817679
incidence_role_signed,selector_stress,augmented_exact_k,4,high,3960,0.0,6.0,0.46666666666666656
incidence_role_signed,selector_stress,augmented_exact_k,4,medium,1980,0.0,5.0,0.10000000000000002
member_indexed_edge_pair,ledger_failure,at_least_k,1,high,2665,0.0,1.0,0.0
member_indexed_edge_pair,ledger_failure,at_least_k,1,low,5838,0.0,1.0,0.0
member_indexed_edge_pair,ledger_failure,at_least_k,1,medium,5726,0.0,1.0,0.0
member_indexed_edge_pair,ledger_failure,at_least_k,2,high,1044,0.11877394636015326,2.3333333333333335,0.0
member_indexed_edge_pair,ledger_failure,at_least_k,2,low,2409,0.12868410128684102,2.3333333333333335,0.0
member_indexed_edge_pair,ledger_failure,at_least_k,2,medium,2352,0.11479591836734694,2.3333333333333335,0.0
member_indexed_edge_pair,ledger_failure,at_least_k,3,high,2802,0.22055674518201285,5.940042826552463,0.012356979660476585
member_indexed_edge_pair,ledger_failure,at_least_k,3,low,1707,0.07615700058582309,2.500878734622144,0.0
member_indexed_edge_pair,ledger_failure,at_least_k,3,medium,1917,0.06416275430359937,2.4992175273865413,0.0
member_indexed_edge_pair,ledger_failure,at_least_k,4,high,4289,0.25367218465842856,12.38633714152483,0.046149817453005025
member_indexed_edge_pair,ledger_failure,at_least_k,4,low,846,0.1453900709219858,5.0,0.0
member_indexed_edge_pair,ledger_failure,at_least_k,4,medium,805,0.1341614906832298,5.0,0.0
member_indexed_edge_pair,ledger_failure,augmented_exact_k,1,high,4307,0.0,1.0,0.0
member_indexed_edge_pair,ledger_failure,augmented_exact_k,1,low,5020,0.0,1.0,0.0
member_indexed_edge_pair,ledger_failure,augmented_exact_k,1,medium,4902,0.0,1.0,0.0
member_indexed_edge_pair,ledger_failure,augmented_exact_k,2,high,1647,0.13479052823315119,2.3333333333333335,0.0
member_indexed_edge_pair,ledger_failure,augmented_exact_k,2,low,2130,0.12488262910798122,2.3333333333333335,0.0
member_indexed_edge_pair,ledger_failure,augmented_exact_k,2,medium,2028,0.10650887573964497,2.3333333333333335,0.0
member_indexed_edge_pair,ledger_failure,augmented_exact_k,3,high,1770,0.1327683615819209,3.0,0.0
member_indexed_edge_pair,ledger_failure,augmented_exact_k,3,low,2256,0.13342198581560283,3.0,0.0
member_indexed_edge_pair,ledger_failure,augmented_exact_k,3,medium,2400,0.13208333333333333,3.0,0.0
member_indexed_edge_pair,ledger_failure,augmented_exact_k,4,high,3076,0.2574772431729519,6.2873862158647595,0.015730760371841748
member_indexed_edge_pair,ledger_failure,augmented_exact_k,4,low,1394,0.23170731707317074,5.0,0.0
member_indexed_edge_pair,ledger_failure,augmented_exact_k,4,medium,1470,0.23129251700680273,5.0,0.0
member_indexed_edge_pair,orientation_degradation,at_least_k,1,high,2665,0.0,1.0,0.0
member_indexed_edge_pair,orientation_degradation,at_least_k,1,low,5838,0.0,1.0,0.0
member_indexed_edge_pair,orientation_degradation,at_least_k,1,medium,5726,0.0,1.0,0.0
member_indexed_edge_pair,orientation_degradation,at_least_k,2,high,1044,0.1053639846743295,2.3333333333333335,0.0
member_indexed_edge_pair,orientation_degradation,at_least_k,2,low,2409,0.1261934412619344,2.3333333333333335,0.0
member_indexed_edge_pair,orientation_degradation,at_least_k,2,medium,2352,0.10119047619047619,2.3333333333333335,0.0
