family_semantics,certification_regime,mode,severity,threshold_fraction,certificate_correlation,samples,support_width_count,mean_support_width,mean_family_size,parent_in_family_rate,strict_parent_loss_rate,family_internal_loss_rate,strict_rescue_rate,family_internal_survival_rate,strict_parent_cert_failure_rate,certification_rescue_rate,family_certification_resilience_rate,comparison_valid_rate,metric_artifact_risk_rate,mean_apples_to_apples_loss_delta,mean_certified_family_member_count,mean_uncertified_family_member_fraction
at_least_k,cut_level,ledger_failure,0.0,1.0,0.5,2400,4,2.125833,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
at_least_k,cut_level,ledger_failure,0.0,1.0,0.75,2400,4,2.125833,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
at_least_k,cut_level,ledger_failure,0.0,1.0,1.0,2400,4,2.125833,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
at_least_k,cut_level,ledger_failure,0.25,0.25,0.0,2400,4,2.125833,5.115,1.0,0.62875,0.439167,0.189583,0.560833,0.62875,0.189583,0.560833,1.0,0.0,-0.189583,3.366667,0.604444
at_least_k,cut_level,ledger_failure,0.25,0.25,0.25,2400,4,2.125833,5.115,1.0,0.597917,0.439167,0.15875,0.560833,0.597917,0.15875,0.560833,1.0,0.0,-0.15875,3.366667,0.604444
at_least_k,cut_level,ledger_failure,0.25,0.25,0.5,2400,4,2.125833,5.115,1.0,0.632083,0.439167,0.192917,0.560833,0.632083,0.192917,0.560833,1.0,0.0,-0.192917,3.366667,0.604444
at_least_k,cut_level,ledger_failure,0.25,0.25,0.75,2400,4,2.125833,5.115,1.0,0.58625,0.439167,0.147083,0.560833,0.58625,0.147083,0.560833,1.0,0.0,-0.147083,3.366667,0.604444
at_least_k,cut_level,ledger_failure,0.25,0.25,1.0,2400,4,2.125833,5.115,1.0,0.6125,0.439167,0.173333,0.560833,0.6125,0.173333,0.560833,1.0,0.0,-0.173333,3.366667,0.604444
at_least_k,cut_level,ledger_failure,0.25,0.5,0.0,2400,4,2.125833,3.786667,1.0,0.599167,0.439167,0.16,0.560833,0.599167,0.16,0.560833,1.0,0.0,-0.16,2.42,0.598472
at_least_k,cut_level,ledger_failure,0.25,0.5,0.25,2400,4,2.125833,3.786667,1.0,0.620417,0.439167,0.18125,0.560833,0.620417,0.18125,0.560833,1.0,0.0,-0.18125,2.42,0.598472
at_least_k,cut_level,ledger_failure,0.25,0.5,0.5,2400,4,2.125833,3.786667,1.0,0.595417,0.439167,0.15625,0.560833,0.595417,0.15625,0.560833,1.0,0.0,-0.15625,2.42,0.598472
at_least_k,cut_level,ledger_failure,0.25,0.5,0.75,2400,4,2.125833,3.786667,1.0,0.57625,0.439167,0.137083,0.560833,0.57625,0.137083,0.560833,1.0,0.0,-0.137083,2.42,0.598472
at_least_k,cut_level,ledger_failure,0.25,0.5,1.0,2400,4,2.125833,3.786667,1.0,0.62625,0.439167,0.187083,0.560833,0.62625,0.187083,0.560833,1.0,0.0,-0.187083,2.42,0.598472
at_least_k,cut_level,ledger_failure,0.25,0.75,0.0,2400,4,2.125833,1.733333,1.0,0.88875,0.816667,0.072083,0.183333,0.88875,0.072083,0.183333,1.0,0.0,-0.072083,0.55,0.89
at_least_k,cut_level,ledger_failure,0.25,0.75,0.25,2400,4,2.125833,1.733333,1.0,0.904583,0.816667,0.087917,0.183333,0.904583,0.087917,0.183333,1.0,0.0,-0.087917,0.55,0.89
at_least_k,cut_level,ledger_failure,0.25,0.75,0.5,2400,4,2.125833,1.733333,1.0,0.901667,0.816667,0.085,0.183333,0.901667,0.085,0.183333,1.0,0.0,-0.085,0.55,0.89
at_least_k,cut_level,ledger_failure,0.25,0.75,0.75,2400,4,2.125833,1.733333,1.0,0.90375,0.816667,0.087083,0.183333,0.90375,0.087083,0.183333,1.0,0.0,-0.087083,0.55,0.89
at_least_k,cut_level,ledger_failure,0.25,0.75,1.0,2400,4,2.125833,1.733333,1.0,0.896667,0.816667,0.08,0.183333,0.896667,0.08,0.183333,1.0,0.0,-0.08,0.55,0.89
at_least_k,cut_level,ledger_failure,0.25,1.0,0.0,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.25,1.0,0.25,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.25,1.0,0.5,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.25,1.0,0.75,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.25,1.0,1.0,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.5,0.25,0.0,2400,4,2.125833,5.115,1.0,0.780417,0.439167,0.34125,0.560833,0.780417,0.34125,0.560833,1.0,0.0,-0.34125,2.0575,0.769722
at_least_k,cut_level,ledger_failure,0.5,0.25,0.25,2400,4,2.125833,5.115,1.0,0.779167,0.439167,0.34,0.560833,0.779167,0.34,0.560833,1.0,0.0,-0.34,2.0575,0.769722
at_least_k,cut_level,ledger_failure,0.5,0.25,0.5,2400,4,2.125833,5.115,1.0,0.722917,0.439167,0.28375,0.560833,0.722917,0.28375,0.560833,1.0,0.0,-0.28375,2.0575,0.769722
at_least_k,cut_level,ledger_failure,0.5,0.25,0.75,2400,4,2.125833,5.115,1.0,0.776667,0.439167,0.3375,0.560833,0.776667,0.3375,0.560833,1.0,0.0,-0.3375,2.0575,0.769722
at_least_k,cut_level,ledger_failure,0.5,0.25,1.0,2400,4,2.125833,5.115,1.0,0.753333,0.439167,0.314167,0.560833,0.753333,0.314167,0.560833,1.0,0.0,-0.314167,2.0575,0.769722
at_least_k,cut_level,ledger_failure,0.5,0.5,0.0,2400,4,2.125833,3.786667,1.0,0.765417,0.439167,0.32625,0.560833,0.765417,0.32625,0.560833,1.0,0.0,-0.32625,1.4925,0.757778
at_least_k,cut_level,ledger_failure,0.5,0.5,0.25,2400,4,2.125833,3.786667,1.0,0.753333,0.439167,0.314167,0.560833,0.753333,0.314167,0.560833,1.0,0.0,-0.314167,1.4925,0.757778
at_least_k,cut_level,ledger_failure,0.5,0.5,0.5,2400,4,2.125833,3.786667,1.0,0.754167,0.439167,0.315,0.560833,0.754167,0.315,0.560833,1.0,0.0,-0.315,1.4925,0.757778
at_least_k,cut_level,ledger_failure,0.5,0.5,0.75,2400,4,2.125833,3.786667,1.0,0.794583,0.439167,0.355417,0.560833,0.794583,0.355417,0.560833,1.0,0.0,-0.355417,1.4925,0.757778
at_least_k,cut_level,ledger_failure,0.5,0.5,1.0,2400,4,2.125833,3.786667,1.0,0.765833,0.439167,0.326667,0.560833,0.765833,0.326667,0.560833,1.0,0.0,-0.326667,1.4925,0.757778
at_least_k,cut_level,ledger_failure,0.5,0.75,0.0,2400,4,2.125833,1.733333,1.0,0.9225,0.816667,0.105833,0.183333,0.9225,0.105833,0.183333,1.0,0.0,-0.105833,0.366667,0.926667
at_least_k,cut_level,ledger_failure,0.5,0.75,0.25,2400,4,2.125833,1.733333,1.0,0.909583,0.816667,0.092917,0.183333,0.909583,0.092917,0.183333,1.0,0.0,-0.092917,0.366667,0.926667
at_least_k,cut_level,ledger_failure,0.5,0.75,0.5,2400,4,2.125833,1.733333,1.0,0.905,0.816667,0.088333,0.183333,0.905,0.088333,0.183333,1.0,0.0,-0.088333,0.366667,0.926667
at_least_k,cut_level,ledger_failure,0.5,0.75,0.75,2400,4,2.125833,1.733333,1.0,0.929167,0.816667,0.1125,0.183333,0.929167,0.1125,0.183333,1.0,0.0,-0.1125,0.366667,0.926667
at_least_k,cut_level,ledger_failure,0.5,0.75,1.0,2400,4,2.125833,1.733333,1.0,0.915833,0.816667,0.099167,0.183333,0.915833,0.099167,0.183333,1.0,0.0,-0.099167,0.366667,0.926667
at_least_k,cut_level,ledger_failure,0.5,1.0,0.0,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.5,1.0,0.25,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.5,1.0,0.5,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.5,1.0,0.75,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.5,1.0,1.0,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.75,0.25,0.0,2400,4,2.125833,5.115,1.0,0.936667,0.618333,0.318333,0.381667,0.936667,0.318333,0.381667,1.0,0.0,-0.318333,0.748333,0.935
at_least_k,cut_level,ledger_failure,0.75,0.25,0.25,2400,4,2.125833,5.115,1.0,0.919583,0.618333,0.30125,0.381667,0.919583,0.30125,0.381667,1.0,0.0,-0.30125,0.748333,0.935
at_least_k,cut_level,ledger_failure,0.75,0.25,0.5,2400,4,2.125833,5.115,1.0,0.937083,0.618333,0.31875,0.381667,0.937083,0.31875,0.381667,1.0,0.0,-0.31875,0.748333,0.935
at_least_k,cut_level,ledger_failure,0.75,0.25,0.75,2400,4,2.125833,5.115,1.0,0.921667,0.618333,0.303333,0.381667,0.921667,0.303333,0.381667,1.0,0.0,-0.303333,0.748333,0.935
at_least_k,cut_level,ledger_failure,0.75,0.25,1.0,2400,4,2.125833,5.115,1.0,0.914583,0.618333,0.29625,0.381667,0.914583,0.29625,0.381667,1.0,0.0,-0.29625,0.748333,0.935
at_least_k,cut_level,ledger_failure,0.75,0.5,0.0,2400,4,2.125833,3.786667,1.0,0.89625,0.618333,0.277917,0.381667,0.89625,0.277917,0.381667,1.0,0.0,-0.277917,0.565,0.917083
at_least_k,cut_level,ledger_failure,0.75,0.5,0.25,2400,4,2.125833,3.786667,1.0,0.9375,0.618333,0.319167,0.381667,0.9375,0.319167,0.381667,1.0,0.0,-0.319167,0.565,0.917083
at_least_k,cut_level,ledger_failure,0.75,0.5,0.5,2400,4,2.125833,3.786667,1.0,0.902917,0.618333,0.284583,0.381667,0.902917,0.284583,0.381667,1.0,0.0,-0.284583,0.565,0.917083
at_least_k,cut_level,ledger_failure,0.75,0.5,0.75,2400,4,2.125833,3.786667,1.0,0.918333,0.618333,0.3,0.381667,0.918333,0.3,0.381667,1.0,0.0,-0.3,0.565,0.917083
at_least_k,cut_level,ledger_failure,0.75,0.5,1.0,2400,4,2.125833,3.786667,1.0,0.922083,0.618333,0.30375,0.381667,0.922083,0.30375,0.381667,1.0,0.0,-0.30375,0.565,0.917083
at_least_k,cut_level,ledger_failure,0.75,0.75,0.0,2400,4,2.125833,1.733333,1.0,0.95,0.816667,0.133333,0.183333,0.95,0.133333,0.183333,1.0,0.0,-0.133333,0.183333,0.963333
at_least_k,cut_level,ledger_failure,0.75,0.75,0.25,2400,4,2.125833,1.733333,1.0,0.97,0.816667,0.153333,0.183333,0.97,0.153333,0.183333,1.0,0.0,-0.153333,0.183333,0.963333
at_least_k,cut_level,ledger_failure,0.75,0.75,0.5,2400,4,2.125833,1.733333,1.0,0.962083,0.816667,0.145417,0.183333,0.962083,0.145417,0.183333,1.0,0.0,-0.145417,0.183333,0.963333
at_least_k,cut_level,ledger_failure,0.75,0.75,0.75,2400,4,2.125833,1.733333,1.0,0.95375,0.816667,0.137083,0.183333,0.95375,0.137083,0.183333,1.0,0.0,-0.137083,0.183333,0.963333
at_least_k,cut_level,ledger_failure,0.75,0.75,1.0,2400,4,2.125833,1.733333,1.0,0.970833,0.816667,0.154167,0.183333,0.970833,0.154167,0.183333,1.0,0.0,-0.154167,0.183333,0.963333
at_least_k,cut_level,ledger_failure,0.75,1.0,0.0,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.75,1.0,0.25,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.75,1.0,0.5,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.75,1.0,0.75,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,0.75,1.0,1.0,2400,4,2.125833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,1.0,0.25,0.0,2400,4,2.125833,5.115,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,1.0,0.25,0.25,2400,4,2.125833,5.115,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,1.0,0.25,0.5,2400,4,2.125833,5.115,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,1.0,0.25,0.75,2400,4,2.125833,5.115,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,1.0,0.25,1.0,2400,4,2.125833,5.115,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,1.0,0.5,0.0,2400,4,2.125833,3.786667,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,1.0,0.5,0.25,2400,4,2.125833,3.786667,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,1.0,0.5,0.5,2400,4,2.125833,3.786667,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,1.0,0.5,0.75,2400,4,2.125833,3.786667,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,1.0,0.5,1.0,2400,4,2.125833,3.786667,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,1.0,0.75,0.0,2400,4,2.125833,1.733333,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
at_least_k,cut_level,ledger_failure,1.0,0.75,0.25,2400,4,2.125833,1.733333,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
