mode,family_semantics,certification_regime,severity,threshold_fraction,certificate_correlation,samples,family_size_mean,strict_parent_cert_failure_rate,certification_rescue_rate,family_certification_resilience_rate,family_internal_loss_rate,family_internal_survival_rate,mean_certified_family_member_count,metric_artifact_risk_rate
ledger_failure,at_least_k,parent_shared,0.25,0.5,0.75,2400,3.786667,0.22375,0.0,0.77625,0.22375,0.77625,2.844583,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.5,1.0,2400,3.786667,0.26625,0.0,0.73375,0.26625,0.73375,2.570833,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.75,0.0,2400,1.733333,0.202917,0.0,0.797083,0.202917,0.797083,1.38375,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.75,0.25,2400,1.733333,0.29875,0.0,0.70125,0.29875,0.70125,1.21125,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.75,0.5,2400,1.733333,0.204583,0.0,0.795417,0.204583,0.795417,1.30375,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.75,0.75,2400,1.733333,0.22375,0.0,0.77625,0.22375,0.77625,1.314583,0.0
ledger_failure,at_least_k,parent_shared,0.25,0.75,1.0,2400,1.733333,0.26625,0.0,0.73375,0.26625,0.73375,1.187083,0.0
ledger_failure,at_least_k,parent_shared,0.25,1.0,0.0,2400,1.0,0.202917,0.0,0.797083,0.202917,0.797083,0.797083,0.0
ledger_failure,at_least_k,parent_shared,0.25,1.0,0.25,2400,1.0,0.29875,0.0,0.70125,0.29875,0.70125,0.70125,0.0
ledger_failure,at_least_k,parent_shared,0.25,1.0,0.5,2400,1.0,0.204583,0.0,0.795417,0.204583,0.795417,0.795417,0.0
ledger_failure,at_least_k,parent_shared,0.25,1.0,0.75,2400,1.0,0.22375,0.0,0.77625,0.22375,0.77625,0.77625,0.0
ledger_failure,at_least_k,parent_shared,0.25,1.0,1.0,2400,1.0,0.26625,0.0,0.73375,0.26625,0.73375,0.73375,0.0
ledger_failure,at_least_k,parent_shared,0.5,0.25,0.0,2400,5.115,0.515,0.0,0.485,0.515,0.485,2.145,0.0
