mode,family_semantics,severity,threshold_fraction,certificate_correlation,samples,certification_rescue_rate,family_certification_resilience_rate,family_internal_loss_rate,family_internal_survival_rate,mean_certified_family_member_count,metric_artifact_risk_rate
ledger_failure,augmented_exact_k,0.25,0.5,0.5,2400,0.0575,0.8575,0.1425,0.8575,2.4,0.0
ledger_failure,augmented_exact_k,0.25,0.5,0.75,2400,0.025,0.800833,0.199167,0.800833,2.33625,0.0
ledger_failure,augmented_exact_k,0.25,0.5,1.0,2400,0.0,0.769583,0.230417,0.769583,2.248333,0.0
ledger_failure,augmented_exact_k,0.25,0.75,0.0,2400,0.055,0.725417,0.274583,0.725417,1.239167,0.0
ledger_failure,augmented_exact_k,0.25,0.75,0.25,2400,0.029583,0.69375,0.30625,0.69375,1.224167,0.0
ledger_failure,augmented_exact_k,0.25,0.75,0.5,2400,0.02,0.78875,0.21125,0.78875,1.349167,0.0
ledger_failure,augmented_exact_k,0.25,0.75,0.75,2400,0.010417,0.782083,0.217917,0.782083,1.389167,0.0
ledger_failure,augmented_exact_k,0.25,0.75,1.0,2400,0.0,0.769583,0.230417,0.769583,1.30125,0.0
ledger_failure,augmented_exact_k,0.25,1.0,0.0,2400,0.0,0.694583,0.305417,0.694583,0.694583,0.0
ledger_failure,augmented_exact_k,0.25,1.0,0.25,2400,0.0,0.667083,0.332917,0.667083,0.667083,0.0
ledger_failure,augmented_exact_k,0.25,1.0,0.5,2400,0.0,0.774167,0.22583299999999998,0.774167,0.774167,0.0
ledger_failure,augmented_exact_k,0.25,1.0,0.75,2400,0.0,0.768333,0.231667,0.768333,0.768333,0.0
ledger_failure,augmented_exact_k,0.25,1.0,1.0,2400,0.0,0.769583,0.230417,0.769583,0.769583,0.0
ledger_failure,augmented_exact_k,0.5,0.25,0.0,2400,0.195,0.791667,0.208333,0.791667,1.466667,0.0
ledger_failure,augmented_exact_k,0.5,0.25,0.25,2400,0.164583,0.651667,0.348333,0.651667,1.334167,0.0
ledger_failure,augmented_exact_k,0.5,0.25,0.5,2400,0.1125,0.5725,0.4275,0.5725,1.18875,0.0
ledger_failure,augmented_exact_k,0.5,0.25,0.75,2400,0.0825,0.566667,0.43333299999999997,0.566667,1.32375,0.0
ledger_failure,augmented_exact_k,0.5,0.25,1.0,2400,0.0,0.423333,0.576667,0.423333,1.320417,0.0
ledger_failure,augmented_exact_k,0.5,0.5,0.0,2400,0.197917,0.795833,0.204167,0.795833,1.682083,0.0
ledger_failure,augmented_exact_k,0.5,0.5,0.25,2400,0.164583,0.660417,0.339583,0.660417,1.527917,0.0
ledger_failure,augmented_exact_k,0.5,0.5,0.5,2400,0.11208300000000002,0.5725,0.4275,0.5725,1.370833,0.0
ledger_failure,augmented_exact_k,0.5,0.5,0.75,2400,0.0775,0.566667,0.43333299999999997,0.566667,1.52375,0.0
ledger_failure,augmented_exact_k,0.5,0.5,1.0,2400,0.0,0.423333,0.576667,0.423333,1.51125,0.0
ledger_failure,augmented_exact_k,0.5,0.75,0.0,2400,0.073333,0.635833,0.364167,0.635833,0.9725,0.0
ledger_failure,augmented_exact_k,0.5,0.75,0.25,2400,0.0675,0.552917,0.447083,0.552917,0.8870829999999998,0.0
ledger_failure,augmented_exact_k,0.5,0.75,0.5,2400,0.045,0.483333,0.516667,0.483333,0.7575,0.0
ledger_failure,augmented_exact_k,0.5,0.75,0.75,2400,0.03125,0.5275,0.4725,0.5275,0.87625,0.0
ledger_failure,augmented_exact_k,0.5,0.75,1.0,2400,0.0,0.423333,0.576667,0.423333,0.805,0.0
ledger_failure,augmented_exact_k,0.5,1.0,0.0,2400,0.0,0.557917,0.442083,0.557917,0.557917,0.0
ledger_failure,augmented_exact_k,0.5,1.0,0.25,2400,0.0,0.50875,0.49125,0.50875,0.50875,0.0
ledger_failure,augmented_exact_k,0.5,1.0,0.5,2400,0.0,0.4125,0.5875,0.4125,0.4125,0.0
ledger_failure,augmented_exact_k,0.5,1.0,0.75,2400,0.0,0.49625,0.50375,0.49625,0.49625,0.0
ledger_failure,augmented_exact_k,0.5,1.0,1.0,2400,0.0,0.423333,0.576667,0.423333,0.423333,0.0
