measure,seed,run_seed,step_idx,v,N1,N2,N3,N4,V4,S,parent_size,orig_parent_size,frontier_parent_size,n_admitted_parent_subsets,n_admitted_unique_closures,n_admitted_unique_profiles,mu_v4
parent_subset_uniform,asym_branch,9,5,9,1,2,1,0,4,2,3,3,1,17,5,5,1.6354633478
parent_subset_uniform,asym_branch,9,6,10,3,0,0,1,4,6,4,4,3,24,8,7,1.6354633478
parent_subset_uniform,asym_branch,9,7,11,2,1,0,0,3,8,2,2,2,154,12,10,1.4006773518
parent_subset_uniform,asym_branch,9,8,12,2,3,0,0,5,26,4,4,2,279,31,13,1.8312368960
parent_subset_uniform,asym_branch,9,9,13,3,3,0,0,6,25,4,4,3,279,31,13,2.0000000000
parent_subset_uniform,asym_branch,9,10,14,2,3,1,3,9,34,4,4,2,346,32,14,2.4039086666
parent_subset_uniform,asym_branch,9,11,15,2,3,0,0,5,26,4,4,2,346,32,14,1.8312368960
parent_subset_uniform,asym_branch,9,12,16,2,3,1,3,9,34,3,3,2,425,34,15,2.4039086666
parent_subset_uniform,asym_branch,9,13,17,3,3,0,0,6,25,4,4,3,425,34,15,2.0000000000
parent_subset_uniform,asym_branch,9,14,18,2,3,1,3,9,34,4,4,2,783,41,17,2.4039086666
parent_subset_uniform,asym_branch,9,15,19,2,3,0,0,5,26,4,4,2,1101,45,17,1.8312368960
parent_subset_uniform,asym_branch,9,16,20,2,1,0,2,5,24,3,3,2,1400,64,21,1.8312368960
parent_subset_uniform,asym_branch,9,17,21,2,2,1,2,7,17,4,4,2,2292,114,38,2.1488813703
parent_subset_uniform,asym_branch,9,18,22,2,2,0,1,5,25,4,4,2,2655,128,45,1.8312368960
parent_subset_uniform,asym_branch,9,19,23,2,2,1,2,7,17,4,4,2,3829,189,53,2.1488813703
parent_subset_uniform,asym_branch,9,20,24,2,2,1,1,6,9,4,4,2,4249,203,54,2.0000000000
parent_subset_uniform,asym_branch,9,21,25,2,3,1,3,9,34,4,4,2,4734,212,57,2.4039086666
parent_subset_uniform,asym_branch,9,22,26,2,3,2,1,8,2,4,4,2,5932,265,65,2.2824720047
parent_subset_uniform,asym_branch,9,23,27,3,2,1,2,8,16,3,3,3,6864,289,68,2.2824720047
parent_subset_uniform,asym_branch,9,24,28,2,3,2,1,8,2,4,4,2,9418,348,81,2.2824720047
parent_subset_uniform,asym_branch,9,25,29,2,3,2,1,8,2,4,4,2,11682,457,100,2.2824720047
parent_subset_uniform,asym_branch,10,1,5,0,0,0,0,0,1,0,0,0,13,4,4,0.0000000000
parent_subset_uniform,asym_branch,10,2,6,1,1,0,0,2,9,2,2,1,24,7,6,1.1041475573
parent_subset_uniform,asym_branch,10,3,7,2,2,1,0,5,1,4,4,2,24,7,6,1.8312368960
parent_subset_uniform,asym_branch,10,4,8,2,2,1,1,6,9,4,4,2,40,8,7,2.0000000000
parent_subset_uniform,asym_branch,10,5,9,2,2,1,0,5,1,4,4,2,40,8,7,1.8312368960
parent_subset_uniform,asym_branch,10,6,10,2,2,0,2,6,33,3,3,2,85,10,8,2.0000000000
parent_subset_uniform,asym_branch,10,7,11,2,2,1,0,5,1,3,3,2,85,10,8,1.8312368960
parent_subset_uniform,asym_branch,10,8,12,2,1,0,0,3,8,2,2,2,145,15,11,1.4006773518
parent_subset_uniform,asym_branch,10,9,13,2,2,0,2,6,33,4,4,2,244,27,14,2.0000000000
parent_subset_uniform,asym_branch,10,10,14,2,2,1,2,7,17,4,4,2,311,29,16,2.1488813703
parent_subset_uniform,asym_branch,10,11,15,2,2,1,0,5,1,3,3,2,311,29,16,1.8312368960
parent_subset_uniform,asym_branch,10,12,16,2,3,2,1,8,2,4,4,2,576,42,22,2.2824720047
parent_subset_uniform,asym_branch,10,13,17,3,3,0,1,7,33,4,4,3,576,42,22,2.1488813703
parent_subset_uniform,asym_branch,10,14,18,3,2,0,0,5,16,4,4,3,761,44,23,1.8312368960
parent_subset_uniform,asym_branch,10,15,19,1,2,1,0,4,2,2,2,1,962,50,26,1.6354633478
parent_subset_uniform,asym_branch,10,16,20,3,2,1,2,8,16,4,4,3,1539,81,41,2.2824720047
parent_subset_uniform,asym_branch,10,17,21,2,2,1,0,5,1,3,3,2,2347,97,50,1.8312368960
parent_subset_uniform,asym_branch,10,18,22,2,2,2,2,8,1,4,4,2,3065,138,61,2.2824720047
parent_subset_uniform,asym_branch,10,19,23,2,3,0,3,8,50,4,4,2,4575,169,67,2.2824720047
parent_subset_uniform,asym_branch,10,20,24,2,3,0,2,7,42,4,4,2,4978,175,69,2.1488813703
parent_subset_uniform,asym_branch,10,21,25,2,2,1,1,6,9,3,3,2,5612,197,78,2.0000000000
parent_subset_uniform,asym_branch,10,22,26,3,2,1,2,8,16,4,4,3,6637,295,85,2.2824720047
parent_subset_uniform,asym_branch,10,23,27,2,3,2,1,8,2,4,4,2,8362,350,86,2.2824720047
parent_subset_uniform,asym_branch,10,24,28,2,3,0,2,7,42,4,4,2,9620,411,92,2.1488813703
parent_subset_uniform,asym_branch,10,25,29,3,3,0,2,8,41,3,3,3,10687,478,92,2.2824720047
parent_subset_uniform,asym_branch,11,1,5,1,2,1,0,4,2,2,2,1,13,4,4,1.6354633478
parent_subset_uniform,asym_branch,11,2,6,1,2,1,0,4,2,3,3,1,13,4,4,1.6354633478
parent_subset_uniform,asym_branch,11,3,7,1,2,1,0,4,2,1,1,1,13,4,4,1.6354633478
parent_subset_uniform,asym_branch,11,4,8,1,2,1,0,4,2,2,2,1,18,5,5,1.6354633478
parent_subset_uniform,asym_branch,11,5,9,3,0,0,1,4,6,4,4,3,33,8,5,1.6354633478
parent_subset_uniform,asym_branch,11,6,10,2,3,0,0,5,26,4,4,2,126,10,7,1.8312368960
