keying,mode,family_semantics,severity,threshold_fraction,support_width,trials,certification_rescue_rate,orientation_overlap_all_pairs_mean,orientation_overlap_parent_anchored_mean,avg_witness_token_count,support_overlap_mean,frontier_overlap_mean,legacy_orientation_overlap_mean,ledger_overlap_mean
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.25,4,660,0.19242424242424241,0.13400824888579954,0.110278483640959,5.954242424242424,0.1,0.1,0.1,0.48251351363636363
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.5,1,1581,0.0,0.0,0.0,8.019607843137255,1.0,1.0,1.0,1.0
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.5,2,645,0.13178294573643412,0.2770559586838656,0.23008232508232507,5.24702842377261,0.333333,0.333333,0.333333,0.6498192093023256
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.5,3,714,0.08403361344537816,0.4111049552549239,0.37816121293021004,7.690826330532213,0.5,0.5,0.5,0.7166617899159663
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.5,4,660,0.13787878787878788,0.29422759362206075,0.27700265571852967,7.732900432900433,0.333333,0.333333,0.333333,0.6199095363636363
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.75,1,1581,0.0,0.0,0.0,8.030360531309299,1.0,1.0,1.0,1.0
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.75,2,645,0.0,0.0,0.0,6.928682170542635,1.0,1.0,1.0,1.0
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.75,3,714,0.0,0.0,0.0,9.630252100840336,1.0,1.0,1.0,1.0
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.75,4,660,0.07424242424242425,0.5047153245478604,0.48134001522155023,10.118484848484849,0.6,0.6,0.6,0.7759782636363637
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.5,0.25,1,1581,0.0,0.0,0.0,8.030360531309299,1.0,1.0,1.0,1.0
